==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           27
Number of edges:              75
Number of partitions:         2

Density (%):                  21
Name of instance:             seed1_band
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      2.53000e+00      2.53000e+00      1.90000e+01      3s
     1      2.77600e+00      2.77600e+00      1.90000e+01      4s
     2      2.54600e+00      2.77600e+00      1.90000e+01      6s
     3      2.44300e+00      2.77600e+00      1.90000e+01      8s
     4      2.58000e+00      2.77600e+00      1.90000e+01     10s
     5      2.38700e+00      2.77600e+00      1.90000e+01     12s
     6      2.34800e+00      2.77600e+00      1.90000e+01     14s
     7      2.50600e+00      2.77600e+00      1.90000e+01     16s
     8      2.57200e+00      2.77600e+00      1.90000e+01     17s
     9      2.30200e+00      2.77600e+00      1.90000e+01     19s
    10      2.71200e+00      2.77600e+00      1.90000e+01     21s
    11      2.47100e+00      2.77600e+00      1.90000e+01     23s
    12      2.45400e+00      2.77600e+00      1.90000e+01     25s
    13      2.39700e+00      2.77600e+00      1.90000e+01     27s
    14      2.52400e+00      2.77600e+00      1.90000e+01     28s
    15      2.47200e+00      2.77600e+00      2.00000e+01     30s
    16      2.30500e+00      2.77600e+00      2.00000e+01     32s
    17      2.60200e+00      2.77600e+00      2.00000e+01     34s
    18      2.29800e+00      2.77600e+00      2.00000e+01     36s
    19      2.55700e+00      2.77600e+00      2.00000e+01     38s
    20      2.69900e+00      2.77600e+00      2.00000e+01     40s
    21      2.27100e+00      2.77600e+00      2.00000e+01     41s
    22      2.47400e+00      2.77600e+00      2.00000e+01     43s
    23      2.54900e+00      2.77600e+00      2.00000e+01     45s
    24      2.36300e+00      2.77600e+00      2.00000e+01     47s
    25      2.53500e+00      2.77600e+00      2.00000e+01     49s
    26      2.54200e+00      2.77600e+00      2.00000e+01     50s
    27      2.54200e+00      2.77600e+00      2.00000e+01     52s
    28      2.35700e+00      2.77600e+00      2.00000e+01     54s
    29      2.52800e+00      2.77600e+00      2.00000e+01     56s
    30      2.52000e+00      2.77600e+00      2.00000e+01     58s
    31      2.48800e+00      2.77600e+00      2.00000e+01     60s
    32      2.46700e+00      2.77600e+00      2.00000e+01     62s
    33      2.32900e+00      2.77600e+00      2.20000e+01     63s
    34      2.51800e+00      2.77600e+00      2.20000e+01     65s
    35      2.61500e+00      2.77600e+00      2.20000e+01     67s
    36      2.43100e+00      2.77600e+00      2.20000e+01     69s
    37      2.42300e+00      2.77600e+00      2.20000e+01     71s
    38      2.62000e+00      2.77600e+00      2.20000e+01     73s
    39      2.49000e+00      2.77600e+00      2.20000e+01     75s
    40      2.34200e+00      2.77600e+00      2.20000e+01     76s
    41      2.32200e+00      2.77600e+00      2.20000e+01     78s
    42      2.25700e+00      2.77600e+00      2.20000e+01     80s
    43      2.48200e+00      2.77600e+00      2.20000e+01     82s
    44      2.59100e+00      2.77600e+00      2.20000e+01     84s
    45      2.73500e+00      2.77600e+00      2.20000e+01     86s
    46      2.61000e+00      2.77600e+00      2.20000e+01     88s
    47      2.64500e+00      2.77600e+00      2.20000e+01     89s
    48      2.52900e+00      2.77600e+00      2.20000e+01     91s
    49      2.44900e+00      2.77600e+00      2.20000e+01     93s
    50      2.50500e+00      2.77600e+00      2.20000e+01     95s
    51      2.61400e+00      2.77600e+00      2.20000e+01     97s
    52      2.82700e+00      2.82700e+00      2.20000e+01     99s
    53      2.79400e+00      2.82700e+00      2.20000e+01    100s
    54      2.99500e+00      2.99500e+00      2.20000e+01    102s
    55      3.04000e+00      3.04000e+00      2.20000e+01    104s
    56      2.60600e+00      3.04000e+00      2.20000e+01    106s
    57      2.46200e+00      3.04000e+00      2.20000e+01    108s
    58      2.04200e+00      3.04000e+00      2.20000e+01    110s
    59      2.14700e+00      3.04000e+00      2.20000e+01    112s
    60      2.20500e+00      3.04000e+00      2.20000e+01    113s
    61      2.24000e+00      3.04000e+00      2.20000e+01    115s
    62      2.53600e+00      3.04000e+00      2.20000e+01    117s
    63      2.68000e+00      3.04000e+00      2.20000e+01    119s
    64      3.01400e+00      3.04000e+00      2.20000e+01    121s
    65      2.94400e+00      3.04000e+00      2.20000e+01    123s
    66      2.95200e+00      3.04000e+00      2.20000e+01    125s
    67      2.78900e+00      3.04000e+00      2.20000e+01    126s
    68      2.67900e+00      3.04000e+00      2.20000e+01    128s
    69      2.80700e+00      3.04000e+00      2.20000e+01    130s
    70      2.21900e+00      3.04000e+00      2.20000e+01    132s
    71      2.02700e+00      3.04000e+00      2.20000e+01    134s
    72      2.10600e+00      3.04000e+00      2.20000e+01    136s
    73      2.29300e+00      3.04000e+00      2.20000e+01    138s
    74      2.43200e+00      3.04000e+00      2.20000e+01    139s
    75      2.43100e+00      3.04000e+00      2.20000e+01    141s
    76      2.99300e+00      3.04000e+00      2.20000e+01    143s
    77      2.97800e+00      3.04000e+00      2.20000e+01    145s
    78      3.12600e+00      3.12600e+00      2.20000e+01    147s
    79      3.04300e+00      3.12600e+00      2.20000e+01    149s
    80      2.81300e+00      3.12600e+00      2.20000e+01    151s
    81      2.29100e+00      3.12600e+00      2.20000e+01    152s
    82      2.34000e+00      3.12600e+00      2.20000e+01    154s
    83      2.09200e+00      3.12600e+00      2.20000e+01    156s
    84      2.00500e+00      3.12600e+00      2.20000e+01    158s
    85      2.23600e+00      3.12600e+00      2.20000e+01    160s
    86      2.36000e+00      3.12600e+00      2.20000e+01    162s
    87      2.70800e+00      3.12600e+00      2.20000e+01    164s
    88      2.93200e+00      3.12600e+00      2.20000e+01    166s
    89      2.77100e+00      3.12600e+00      2.20000e+01    167s
    90      3.28900e+00      3.28900e+00      2.20000e+01    169s
    91      2.90000e+00      3.28900e+00      2.20000e+01    171s
    92      2.66200e+00      3.28900e+00      2.20000e+01    173s
    93      2.60600e+00      3.28900e+00      2.20000e+01    175s
    94      2.24500e+00      3.28900e+00      2.20000e+01    177s
    95      2.11700e+00      3.28900e+00      2.20000e+01    179s
    96      2.11000e+00      3.28900e+00      2.20000e+01    181s
    97      2.12600e+00      3.28900e+00      2.20000e+01    182s
    98      2.35700e+00      3.28900e+00      2.20000e+01    184s
    99      2.31700e+00      3.28900e+00      2.20000e+01    186s
   100      2.44400e+00      3.28900e+00      2.20000e+01    188s
   101      2.93100e+00      3.28900e+00      2.20000e+01    190s
   102      3.27200e+00      3.28900e+00      2.20000e+01    192s
   103      3.55600e+00      3.55600e+00      2.20000e+01    193s
   104      3.36700e+00      3.55600e+00      2.20000e+01    195s
   105      3.12500e+00      3.55600e+00      2.20000e+01    197s
   106      3.10900e+00      3.55600e+00      2.20000e+01    199s
   107      2.63900e+00      3.55600e+00      2.20000e+01    201s
   108      2.16500e+00      3.55600e+00      2.20000e+01    203s
   109      1.94700e+00      3.55600e+00      2.20000e+01    204s
   110      1.92200e+00      3.55600e+00      2.20000e+01    206s
   111      2.04000e+00      3.55600e+00      2.20000e+01    208s
   112      2.38000e+00      3.55600e+00      2.20000e+01    210s
   113      3.06100e+00      3.55600e+00      2.20000e+01    212s
   114      3.15400e+00      3.55600e+00      2.20000e+01    214s
   115      3.42200e+00      3.55600e+00      2.20000e+01    216s
   116      3.96500e+00      3.96500e+00      2.20000e+01    218s
   117      3.25700e+00      3.96500e+00      2.20000e+01    219s
   118      2.90500e+00      3.96500e+00      2.20000e+01    221s
   119      2.87200e+00      3.96500e+00      2.20000e+01    223s
