==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           5
Number of edges:              9
Number of partitions:         2

Density (%):                  90
Name of instance:             seed1_band_pen_2.0
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     6     -3.45000e+00     -3.30900e+00      6.00000e+00      1s
    23     -3.40300e+00     -3.25400e+00      6.00000e+00      2s
    39     -3.57900e+00     -3.16800e+00      6.00000e+00      3s
    55     -1.79100e+00     -8.02000e-01      6.00000e+00      4s
    73     -5.15400e+00     -8.02000e-01      6.00000e+00      5s
    89     -2.02600e+00     -8.02000e-01      6.00000e+00      6s
   105     -8.74000e-01      1.06400e+00      6.00000e+00      7s
   122     -7.83300e+00      1.06400e+00      6.00000e+00      8s
   139     -4.27000e-01      1.06400e+00      6.00000e+00      9s
   156     -3.34400e+00      1.29200e+00      6.00000e+00     10s
   173     -6.95200e+00      1.29200e+00      6.00000e+00     11s
   190     -1.10000e-02      1.29200e+00      6.00000e+00     12s
   207     -6.53900e+00      1.29200e+00      6.00000e+00     13s
   224     -4.64300e+00      1.29200e+00      6.00000e+00     14s
   241     -8.90000e-01      1.29200e+00      6.00000e+00     15s
   258     -8.41100e+00      1.29200e+00      6.00000e+00     16s
   275     -2.82000e+00      1.29200e+00      6.00000e+00     18s
   292     -2.71700e+00      1.29200e+00      6.00000e+00     19s
   309     -8.00400e+00      1.29200e+00      6.00000e+00     20s
   325     -3.20900e+00      1.29200e+00      6.00000e+00     21s
   341     -1.97700e+00      1.29200e+00      6.00000e+00     22s
   358     -8.08500e+00      1.29200e+00      6.00000e+00     23s
   376     -4.10800e+00      1.29200e+00      6.00000e+00     24s
   394     -3.84300e+00      1.29200e+00      6.00000e+00     25s
   412     -3.79500e+00      1.29200e+00      6.00000e+00     26s
   429     -7.60200e+00      1.29200e+00      6.00000e+00     27s
   446     -2.82200e+00      1.29200e+00      6.00000e+00     28s
   463     -3.28500e+00      1.29200e+00      6.00000e+00     29s
   480     -7.49900e+00      1.29200e+00      6.00000e+00     30s
   498     -3.10200e+00      1.29200e+00      6.00000e+00     31s
   516     -3.28800e+00      1.29200e+00      6.00000e+00     32s
   532     -6.08600e+00      1.29200e+00      6.00000e+00     33s
   548     -3.16100e+00      1.29200e+00      6.00000e+00     34s
   564     -3.29000e+00      1.29200e+00      6.00000e+00     35s
   581     -5.10100e+00      1.29200e+00      6.00000e+00     36s
   597     -3.42800e+00      1.29200e+00      6.00000e+00     37s
   613     -3.36500e+00      1.29200e+00      6.00000e+00     38s
   630     -4.04000e+00      1.29200e+00      6.00000e+00     39s
   646     -3.96700e+00      1.29200e+00      6.00000e+00     40s
   662     -3.56400e+00      1.29200e+00      6.00000e+00     41s
   677     -2.84900e+00      1.29200e+00      6.00000e+00     42s
   693     -3.71500e+00      1.29200e+00      6.00000e+00     43s
   711     -3.52600e+00      1.29200e+00      6.00000e+00     44s
   727     -2.90400e+00      1.29200e+00      6.00000e+00     45s
   743     -4.06400e+00      1.29200e+00      6.00000e+00     46s
   759     -3.58000e+00      1.29200e+00      6.00000e+00     47s
   775     -3.41500e+00      1.29200e+00      6.00000e+00     48s
   791     -3.74400e+00      1.29200e+00      6.00000e+00     49s
   807     -3.55000e+00      1.29200e+00      6.00000e+00     50s
   824     -3.38200e+00      1.29200e+00      6.00000e+00     52s
   840     -3.74400e+00      1.29200e+00      6.00000e+00     53s
   856     -3.79700e+00      1.29200e+00      6.00000e+00     54s
   872     -3.39300e+00      1.29200e+00      6.00000e+00     55s
   889     -3.78500e+00      1.29200e+00      6.00000e+00     56s
   905     -3.81100e+00      1.29200e+00      6.00000e+00     57s
   921     -3.60300e+00      1.29200e+00      6.00000e+00     58s
   937     -3.46300e+00      1.29200e+00      6.00000e+00     59s
   953     -3.60400e+00      1.29200e+00      6.00000e+00     60s
   968     -3.60200e+00      1.29200e+00      6.00000e+00     61s
   984     -3.38200e+00      1.29200e+00      6.00000e+00     62s
  1000     -3.31700e+00      1.29200e+00      6.00000e+00     63s
  1015     -3.62300e+00      1.29200e+00      6.00000e+00     64s
  1033     -3.37400e+00      1.29200e+00      6.00000e+00     65s
  1049     -3.48400e+00      1.29200e+00      6.00000e+00     66s
  1065     -3.37600e+00      1.29200e+00      6.00000e+00     67s
  1081     -3.48700e+00      1.29200e+00      6.00000e+00     68s
  1098     -3.48500e+00      1.29200e+00      6.00000e+00     69s
  1114     -3.70800e+00      1.29200e+00      6.00000e+00     70s
  1130     -3.77400e+00      1.29200e+00      6.00000e+00     71s
  1145     -3.98700e+00      1.29200e+00      6.00000e+00     72s
  1161     -3.56200e+00      1.29200e+00      6.00000e+00     73s
  1177     -3.69900e+00      1.29200e+00      6.00000e+00     74s
  1193     -4.29800e+00      1.29200e+00      6.00000e+00     75s
  1210     -4.01700e+00      1.29200e+00      6.00000e+00     76s
  1227     -4.07600e+00      1.29200e+00      6.00000e+00     78s
  1244     -4.74000e+00      1.29200e+00      6.00000e+00     79s
  1262     -3.43300e+00      1.29200e+00      6.00000e+00     80s
  1280     -5.12200e+00      1.29200e+00      6.00000e+00     81s
  1297     -3.96900e+00      1.29200e+00      6.00000e+00     82s
  1314     -3.61700e+00      1.29200e+00      6.00000e+00     83s
  1330     -4.43600e+00      1.29200e+00      6.00000e+00     84s
  1350     -3.37300e+00      1.29200e+00      6.00000e+00     85s
  1368     -3.91300e+00      1.29200e+00      6.00000e+00     86s
  1386     -3.42500e+00      1.29200e+00      6.00000e+00     87s
  1402     -3.60800e+00      1.29200e+00      6.00000e+00     88s
  1418     -3.68300e+00      1.29200e+00      6.00000e+00     89s
  1434     -3.70500e+00      1.29200e+00      6.00000e+00     90s
  1450     -3.54100e+00      1.29200e+00      6.00000e+00     91s
  1466     -3.58400e+00      1.29200e+00      6.00000e+00     92s
  1482     -3.70400e+00      1.29200e+00      6.00000e+00     93s
  1498     -3.44100e+00      1.29200e+00      6.00000e+00     94s
  1513     -3.56400e+00      1.29200e+00      6.00000e+00     95s
  1529     -3.64300e+00      1.29200e+00      6.00000e+00     96s
  1545     -3.81500e+00      1.29200e+00      6.00000e+00     97s
  1560     -3.96300e+00      1.29200e+00      6.00000e+00     98s
  1576     -3.52200e+00      1.29200e+00      6.00000e+00     99s
  1592     -3.74300e+00      1.29200e+00      6.00000e+00    100s
  1608     -3.92400e+00      1.29200e+00      6.00000e+00    101s
  1624     -3.63100e+00      1.29200e+00      6.00000e+00    103s
  1641     -3.64600e+00      1.29200e+00      6.00000e+00    104s
  1657     -3.68200e+00      1.29200e+00      6.00000e+00    105s
  1672     -3.57100e+00      1.29200e+00      6.00000e+00    106s
  1688     -3.44700e+00      1.29200e+00      6.00000e+00    107s
  1703     -3.89400e+00      1.29200e+00      6.00000e+00    108s
  1718     -3.40700e+00      1.29200e+00      6.00000e+00    109s
  1734     -3.29400e+00      1.29200e+00      6.00000e+00    110s
  1749     -3.45700e+00      1.29200e+00      6.00000e+00    111s
