==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              14
Number of partitions:         3

Density (%):                  93
Name of instance:             seed1_band_pen_1.8
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     2     -9.15560e+00     -8.98040e+00      6.00000e+00      1s
     8     -9.36060e+00     -8.80560e+00      6.00000e+00      2s
    13     -9.33200e+00     -8.80260e+00      6.00000e+00      3s
    19     -9.61500e+00     -8.80260e+00      7.00000e+00      4s
    24     -9.57460e+00     -8.80260e+00      7.00000e+00      5s
    30     -9.11880e+00     -8.80260e+00      7.00000e+00      7s
    35     -9.33280e+00     -8.80260e+00      7.00000e+00      8s
    40     -9.43440e+00     -8.63100e+00      7.00000e+00      9s
    46     -8.70140e+00     -8.63100e+00      7.00000e+00     10s
    51     -6.19480e+00     -6.19480e+00      7.00000e+00     11s
    57     -7.20800e+00     -2.81220e+00      7.00000e+00     12s
    63     -9.12020e+00     -2.81220e+00      7.00000e+00     13s
    69     -1.89838e+01     -2.81220e+00      7.00000e+00     14s
    75     -7.83720e+00     -2.81220e+00      7.00000e+00     15s
    81     -6.55140e+00     -2.78820e+00      7.00000e+00     17s
    87     -9.12480e+00     -2.78820e+00      7.00000e+00     18s
    93     -1.79068e+01     -2.78820e+00      7.00000e+00     19s
    99     -9.60240e+00     -2.78820e+00      7.00000e+00     20s
   105     -3.79380e+00     -1.51200e+00      7.00000e+00     21s
   111     -9.28540e+00     -1.51200e+00      7.00000e+00     22s
   117     -2.01394e+01     -1.51200e+00      7.00000e+00     23s
   123     -1.61234e+01     -1.51200e+00      7.00000e+00     24s
   129     -2.76740e+00     -1.51200e+00      7.00000e+00     25s
   135     -1.05044e+01     -1.51200e+00      7.00000e+00     27s
   140     -1.44352e+01     -1.51200e+00      7.00000e+00     28s
   146     -2.27246e+01     -1.51200e+00      7.00000e+00     29s
