==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              18
Number of partitions:         3

Density (%):                  86
Name of instance:             seed1_band_pen1.6
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.07602e+01     -1.07602e+01      8.00000e+00      1s
     5     -1.09000e+01     -1.02576e+01      8.00000e+00      2s
    10     -1.03428e+01     -1.02576e+01      8.00000e+00      3s
    15     -1.04872e+01     -1.02576e+01      8.00000e+00      4s
    20     -1.08648e+01     -1.02576e+01      8.00000e+00      6s
    25     -1.13736e+01     -1.00208e+01      8.00000e+00      7s
    30     -1.09094e+01     -1.00208e+01      8.00000e+00      8s
    35     -1.09132e+01     -1.00208e+01      8.00000e+00      9s
    40     -1.04920e+01     -1.00208e+01      8.00000e+00     10s
    45     -1.06454e+01     -1.00208e+01      8.00000e+00     11s
    50     -1.11294e+01     -1.00208e+01      8.00000e+00     12s
    55      6.54000e-02      1.76880e+00      8.00000e+00     13s
    61     -9.83780e+00      1.76880e+00      8.00000e+00     14s
    66     -2.04580e+01      1.76880e+00      8.00000e+00     16s
    72     -2.65382e+01      1.76880e+00      8.00000e+00     17s
    77      2.28400e-01      1.76880e+00      8.00000e+00     18s
    83     -8.04400e+00      1.81380e+00      8.00000e+00     19s
    88     -1.25954e+01      1.81380e+00      8.00000e+00     20s
    94     -3.30476e+01      1.81380e+00      8.00000e+00     21s
    99     -1.04320e+01      1.81380e+00      8.00000e+00     22s
   105     -7.43480e+00      1.81380e+00      8.00000e+00     24s
   110     -1.01982e+01      1.81380e+00      8.00000e+00     25s
   114     -1.52854e+01      1.81380e+00      8.00000e+00     26s
   120     -2.98932e+01      1.81380e+00      8.00000e+00     27s
   125     -8.74400e+00      1.81380e+00      8.00000e+00     28s
   130     -8.15880e+00      1.81380e+00      8.00000e+00     29s
   136     -1.05638e+01      1.81380e+00      8.00000e+00     30s
   141     -2.43442e+01      1.81380e+00      8.00000e+00     31s
   147     -2.05402e+01      1.81380e+00      8.00000e+00     32s
   152     -1.46426e+01      1.81380e+00      8.00000e+00     33s
   158     -1.40012e+01      1.81380e+00      8.00000e+00     35s
   163     -1.15708e+01      1.81380e+00      8.00000e+00     36s
   168     -1.69014e+01      1.81380e+00      8.00000e+00     37s
   173     -1.00990e+01      1.81380e+00      8.00000e+00     38s
   178     -1.73136e+01      1.81380e+00      8.00000e+00     39s
   183     -1.33492e+01      1.81380e+00      8.00000e+00     40s
   188     -1.28442e+01      1.81380e+00      8.00000e+00     41s
   194     -1.50644e+01      1.81380e+00      8.00000e+00     42s
   199     -1.05820e+01      1.81380e+00      8.00000e+00     44s
   204     -1.88036e+01      1.81380e+00      8.00000e+00     45s
   209     -1.23370e+01      1.81380e+00      8.00000e+00     46s
   214     -1.26466e+01      1.81380e+00      8.00000e+00     47s
   220     -8.61420e+00      1.81380e+00      8.00000e+00     48s
   225     -1.18008e+01      1.81380e+00      8.00000e+00     49s
   230     -1.93902e+01      1.81380e+00      8.00000e+00     50s
   235     -1.08736e+01      1.81380e+00      8.00000e+00     52s
   239     -1.29174e+01      1.81380e+00      8.00000e+00     53s
   244     -9.62180e+00      1.81380e+00      8.00000e+00     54s
   249     -1.08008e+01      1.81380e+00      8.00000e+00     55s
   254     -1.36594e+01      1.81380e+00      8.00000e+00     56s
   260     -1.13922e+01      1.81380e+00      8.00000e+00     57s
   264     -1.24552e+01      1.81380e+00      8.00000e+00     58s
   270     -1.12604e+01      1.81380e+00      8.00000e+00     59s
   275     -1.10244e+01      1.81380e+00      8.00000e+00     60s
   280     -1.44568e+01      1.81380e+00      8.00000e+00     61s
   285     -1.07190e+01      1.81380e+00      8.00000e+00     62s
   290     -1.18084e+01      1.81380e+00      8.00000e+00     64s
   295     -1.12796e+01      1.81380e+00      8.00000e+00     65s
   300     -1.11506e+01      1.81380e+00      8.00000e+00     66s
   305     -1.14204e+01      1.81380e+00      8.00000e+00     67s
   310     -1.09908e+01      1.81380e+00      8.00000e+00     68s
   315     -1.23610e+01      1.81380e+00      8.00000e+00     69s
   320     -1.42478e+01      1.81380e+00      8.00000e+00     70s
   325     -1.03890e+01      1.81380e+00      8.00000e+00     72s
   330     -1.12248e+01      1.81380e+00      8.00000e+00     73s
   335     -1.12622e+01      1.81380e+00      8.00000e+00     74s
   340     -1.34016e+01      1.81380e+00      8.00000e+00     75s
   345     -1.37886e+01      1.81380e+00      8.00000e+00     76s
   350     -1.06266e+01      1.81380e+00      8.00000e+00     77s
   355     -1.12304e+01      1.81380e+00      8.00000e+00     78s
   360     -1.02562e+01      1.81380e+00      8.00000e+00     79s
   365     -1.19038e+01      1.81380e+00      8.00000e+00     81s
   369     -1.32834e+01      1.81380e+00      8.00000e+00     82s
   373     -1.18754e+01      1.81380e+00      8.00000e+00     83s
   378     -1.04434e+01      1.81380e+00      8.00000e+00     84s
   383     -1.09642e+01      1.81380e+00      8.00000e+00     85s
   388     -1.14572e+01      1.81380e+00      8.00000e+00     86s
   393     -1.35884e+01      1.81380e+00      8.00000e+00     87s
   398     -1.10402e+01      1.81380e+00      8.00000e+00     88s
   402     -1.08976e+01      1.81380e+00      8.00000e+00     89s
   407     -1.15414e+01      1.81380e+00      8.00000e+00     90s
   412     -1.01116e+01      1.81380e+00      8.00000e+00     92s
   417     -1.28024e+01      1.81380e+00      8.00000e+00     93s
   422     -1.20884e+01      1.81380e+00      8.00000e+00     94s
   427     -1.07642e+01      1.81380e+00      8.00000e+00     95s
   432     -1.17162e+01      1.81380e+00      8.00000e+00     96s
   437     -1.05908e+01      1.81380e+00      8.00000e+00     97s
   441     -1.17164e+01      1.81380e+00      8.00000e+00     98s
   446     -1.18286e+01      1.81380e+00      8.00000e+00    100s
   451     -1.12786e+01      1.81380e+00      8.00000e+00    101s
   456     -1.09240e+01      1.81380e+00      8.00000e+00    102s
   461     -1.07622e+01      1.81380e+00      8.00000e+00    103s
   466     -1.11294e+01      1.81380e+00      8.00000e+00    104s
   471     -1.14672e+01      1.81380e+00      8.00000e+00    106s
   476     -1.08902e+01      1.81380e+00      8.00000e+00    107s
   481     -1.07970e+01      1.81380e+00      8.00000e+00    108s
   486     -1.08948e+01      1.81380e+00      8.00000e+00    109s
   491     -1.08872e+01      1.81380e+00      8.00000e+00    110s
   496     -1.09372e+01      1.81380e+00      8.00000e+00    111s
   501     -1.05898e+01      1.81380e+00      8.00000e+00    112s
   506     -1.01850e+01      1.81380e+00      8.00000e+00    114s
   511     -1.06972e+01      1.81380e+00      8.00000e+00    115s
   515     -1.08766e+01      1.81380e+00      8.00000e+00    116s
   519     -1.09850e+01      1.81380e+00      8.00000e+00    117s
   524     -1.07720e+01      1.81380e+00      8.00000e+00    118s
   529     -1.04224e+01      1.81380e+00      8.00000e+00    119s
   534     -1.07852e+01      1.81380e+00      8.00000e+00    120s
   539     -1.12638e+01      1.81380e+00      8.00000e+00    121s
   543     -1.04990e+01      1.81380e+00      8.00000e+00    122s
   547     -1.09736e+01      1.81380e+00      8.00000e+00    123s
   551     -1.07622e+01      1.81380e+00      8.00000e+00    125s
   555     -1.09280e+01      1.81380e+00      8.00000e+00    126s
   560     -1.11814e+01      1.81380e+00      8.00000e+00    127s
   564     -1.13696e+01      1.81380e+00      8.00000e+00    128s
   569     -1.06262e+01      1.81380e+00      8.00000e+00    129s
   574     -1.05666e+01      1.81380e+00      8.00000e+00    130s
   579     -1.06524e+01      1.81380e+00      8.00000e+00    131s
   584     -1.10658e+01      1.81380e+00      8.00000e+00    132s
   589     -1.04868e+01      1.81380e+00      8.00000e+00    134s
   594     -1.11736e+01      1.81380e+00      8.00000e+00    135s
   599     -1.11552e+01      1.81380e+00      8.00000e+00    136s
   604     -1.09142e+01      1.81380e+00      8.00000e+00    137s
   609     -1.11122e+01      1.81380e+00      8.00000e+00    138s
   613     -1.06130e+01      1.81380e+00      8.00000e+00    139s
   617     -1.12408e+01      1.81380e+00      8.00000e+00    140s
   622     -1.07580e+01      1.81380e+00      8.00000e+00    141s
   627     -1.08764e+01      1.81380e+00      8.00000e+00    143s
   632     -1.08084e+01      1.81380e+00      8.00000e+00    144s
   637     -1.09130e+01      1.81380e+00      8.00000e+00    145s
   642     -1.10630e+01      1.81380e+00      8.00000e+00    146s
   647     -1.05170e+01      1.81380e+00      8.00000e+00    147s
   651     -1.09684e+01      1.81380e+00      8.00000e+00    148s
   656     -1.11904e+01      1.81380e+00      8.00000e+00    149s
   661     -1.03276e+01      1.81380e+00      8.00000e+00    151s
   666     -1.09732e+01      1.81380e+00      8.00000e+00    152s
   671     -1.09666e+01      1.81380e+00      8.00000e+00    153s
   675     -1.08656e+01      1.81380e+00      8.00000e+00    154s
   680     -1.16080e+01      1.81380e+00      8.00000e+00    155s
   685     -1.08190e+01      1.81380e+00      8.00000e+00    156s
