==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           4
Number of edges:              6
Number of partitions:         4

Density (%):                  100
Name of instance:             seed1_band_pen1.6
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     5     -1.01120e+01     -9.85980e+00      4.00000e+00      1s
    18     -1.06008e+01     -9.84340e+00      4.00000e+00      2s
    31     -1.06068e+01     -9.50520e+00      4.00000e+00      3s
    44     -1.06088e+01     -9.50520e+00      4.00000e+00      4s
    58     -3.44760e+00     -6.02600e-01      4.00000e+00      5s
    73     -1.85418e+01     -6.02600e-01      4.00000e+00      6s
    88     -1.38038e+01     -2.79000e-01      4.00000e+00      7s
   103     -3.13980e+00     -2.79000e-01      4.00000e+00      8s
   118     -3.04844e+01     -2.79000e-01      4.00000e+00      9s
   133     -3.87720e+00     -2.79000e-01      4.00000e+00     10s
   148     -1.46884e+01     -2.79000e-01      4.00000e+00     11s
   163     -1.24792e+01     -2.79000e-01      4.00000e+00     12s
   178     -1.04190e+01     -2.79000e-01      4.00000e+00     13s
   193     -2.05128e+01     -2.79000e-01      4.00000e+00     14s
   207     -1.36152e+01     -2.79000e-01      4.00000e+00     15s
   221     -1.21416e+01     -2.79000e-01      4.00000e+00     17s
   235     -1.00548e+01     -2.79000e-01      4.00000e+00     18s
   249     -1.05138e+01     -2.79000e-01      4.00000e+00     19s
   263     -1.04704e+01     -2.79000e-01      4.00000e+00     20s
   277     -1.22556e+01     -2.79000e-01      4.00000e+00     21s
   290     -1.15844e+01     -2.79000e-01      4.00000e+00     22s
   304     -1.28304e+01     -2.79000e-01      4.00000e+00     23s
   318     -1.31062e+01     -2.79000e-01      4.00000e+00     24s
   332     -1.38386e+01     -2.79000e-01      4.00000e+00     25s
   346     -1.29756e+01     -2.79000e-01      4.00000e+00     26s
   360     -1.22754e+01     -2.79000e-01      4.00000e+00     27s
   374     -1.04458e+01     -2.79000e-01      4.00000e+00     28s
   388     -1.07694e+01     -2.79000e-01      4.00000e+00     29s
   402     -1.20176e+01     -2.79000e-01      4.00000e+00     30s
   416     -1.19864e+01     -2.79000e-01      4.00000e+00     31s
   430     -1.42462e+01     -2.79000e-01      4.00000e+00     32s
   443     -1.26082e+01     -2.79000e-01      4.00000e+00     33s
   457     -1.34826e+01     -2.79000e-01      4.00000e+00     34s
   471     -1.10876e+01     -2.79000e-01      4.00000e+00     35s
   485     -1.15756e+01     -2.79000e-01      4.00000e+00     36s
   499     -1.05126e+01     -2.79000e-01      4.00000e+00     37s
   513     -1.03286e+01     -2.79000e-01      4.00000e+00     38s
   527     -1.15776e+01     -2.79000e-01      4.00000e+00     39s
   541     -1.17852e+01     -2.79000e-01      4.00000e+00     40s
   555     -1.14932e+01     -2.79000e-01      4.00000e+00     41s
   569     -1.12058e+01     -2.79000e-01      4.00000e+00     43s
   583     -1.10634e+01     -2.79000e-01      4.00000e+00     44s
   597     -1.02870e+01     -2.79000e-01      4.00000e+00     45s
   611     -1.04146e+01     -2.79000e-01      4.00000e+00     46s
   625     -1.03738e+01     -2.79000e-01      4.00000e+00     47s
   639     -1.06638e+01     -2.79000e-01      4.00000e+00     48s
   653     -1.02970e+01     -2.79000e-01      4.00000e+00     49s
   667     -1.07220e+01     -2.79000e-01      4.00000e+00     50s
   681     -1.01380e+01     -2.79000e-01      4.00000e+00     51s
   695     -1.05798e+01     -2.79000e-01      4.00000e+00     52s
   708     -1.08938e+01     -2.79000e-01      4.00000e+00     53s
   721     -1.02880e+01     -2.79000e-01      4.00000e+00     54s
   735     -1.01702e+01     -2.79000e-01      4.00000e+00     55s
   749     -1.07022e+01     -2.79000e-01      4.00000e+00     56s
   763     -1.01676e+01     -2.79000e-01      4.00000e+00     57s
   777     -1.04774e+01     -2.79000e-01      4.00000e+00     58s
   791     -9.97260e+00     -2.79000e-01      4.00000e+00     59s
   805     -1.09690e+01     -2.79000e-01      4.00000e+00     61s
   819     -1.11522e+01     -2.79000e-01      4.00000e+00     62s
   833     -1.14830e+01     -2.79000e-01      4.00000e+00     63s
   847     -1.08900e+01     -2.79000e-01      4.00000e+00     64s
   861     -1.03328e+01     -2.79000e-01      4.00000e+00     65s
   875     -1.06956e+01     -2.79000e-01      4.00000e+00     66s
   888     -1.10824e+01     -2.79000e-01      4.00000e+00     67s
   902     -1.03126e+01     -2.79000e-01      4.00000e+00     68s
   915     -1.07214e+01     -2.79000e-01      4.00000e+00     69s
   929     -1.09330e+01     -2.79000e-01      4.00000e+00     70s
   943     -9.86240e+00     -2.79000e-01      4.00000e+00     71s
   955     -1.07620e+01     -2.79000e-01      4.00000e+00     72s
   969     -1.12272e+01     -2.79000e-01      4.00000e+00     73s
   981     -1.04170e+01     -2.79000e-01      4.00000e+00     74s
   994     -1.11010e+01     -2.79000e-01      4.00000e+00     75s
  1007     -1.11154e+01     -2.79000e-01      4.00000e+00     76s
  1020     -9.99300e+00     -2.79000e-01      4.00000e+00     77s
  1033     -1.06558e+01     -2.79000e-01      4.00000e+00     78s
  1046     -1.06310e+01     -2.79000e-01      4.00000e+00     79s
  1059     -1.08988e+01     -2.79000e-01      4.00000e+00     80s
  1072     -9.88120e+00     -2.79000e-01      4.00000e+00     81s
  1085     -1.08522e+01     -2.79000e-01      4.00000e+00     82s
  1098     -1.03234e+01     -2.79000e-01      4.00000e+00     83s
  1111     -1.03774e+01     -2.79000e-01      4.00000e+00     84s
  1124     -9.96500e+00     -2.79000e-01      4.00000e+00     85s
  1137     -1.05020e+01     -2.79000e-01      4.00000e+00     86s
  1150     -1.01754e+01     -2.79000e-01      4.00000e+00     87s
  1162     -1.02354e+01     -2.79000e-01      4.00000e+00     88s
  1175     -1.03616e+01     -2.79000e-01      4.00000e+00     89s
  1189     -1.04894e+01     -2.79000e-01      4.00000e+00     90s
  1203     -1.00972e+01     -2.79000e-01      4.00000e+00     92s
  1217     -1.07220e+01     -2.79000e-01      4.00000e+00     93s
  1231     -1.01282e+01     -2.79000e-01      4.00000e+00     94s
  1244     -1.08392e+01     -2.79000e-01      4.00000e+00     95s
  1257     -1.01206e+01     -2.79000e-01      4.00000e+00     96s
  1270     -1.03412e+01     -2.79000e-01      4.00000e+00     97s
  1283     -1.01540e+01     -2.79000e-01      4.00000e+00     98s
  1296     -1.03026e+01     -2.79000e-01      4.00000e+00     99s
  1309     -1.06390e+01     -2.79000e-01      4.00000e+00    100s
  1321     -1.07506e+01     -2.79000e-01      4.00000e+00    101s
  1334     -1.05080e+01     -2.79000e-01      4.00000e+00    102s
  1347     -1.10910e+01     -2.79000e-01      4.00000e+00    103s
  1361     -1.01306e+01     -2.79000e-01      4.00000e+00    104s
  1374     -1.02302e+01     -2.79000e-01      4.00000e+00    105s
  1387     -1.02632e+01     -2.79000e-01      4.00000e+00    106s
  1400     -1.02304e+01     -2.79000e-01      4.00000e+00    107s
  1413     -9.93220e+00     -2.79000e-01      4.00000e+00    108s
  1426     -1.03432e+01     -2.79000e-01      4.00000e+00    109s
  1439     -1.08694e+01     -2.79000e-01      4.00000e+00    110s
  1452     -9.74500e+00     -2.79000e-01      4.00000e+00    111s
  1465     -9.82460e+00     -2.79000e-01      4.00000e+00    112s
  1478     -9.83580e+00     -2.79000e-01      4.00000e+00    113s
  1491     -1.01290e+01     -2.79000e-01      4.00000e+00    114s
  1504     -9.69660e+00     -2.79000e-01      4.00000e+00    115s
  1517     -1.02310e+01     -2.79000e-01      4.00000e+00    116s
  1530     -9.87120e+00     -2.79000e-01      4.00000e+00    117s
  1543     -9.94340e+00     -2.79000e-01      4.00000e+00    118s
