==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           20
Number of edges:              54
Number of partitions:         2

Density (%):                  28
Name of instance:             seed1_band
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     1      8.95000e-01      9.22000e-01      1.30000e+01      1s
     5      8.02000e-01      1.11400e+00      1.50000e+01      3s
     9      8.90000e-01      1.11400e+00      1.50000e+01      4s
    13      8.44000e-01      1.11400e+00      1.60000e+01      5s
    17      1.08900e+00      1.11600e+00      1.60000e+01      6s
    21      7.41000e-01      1.11600e+00      1.60000e+01      8s
    25      9.51000e-01      1.11600e+00      1.60000e+01      9s
    29      1.00100e+00      1.11600e+00      1.60000e+01     10s
    33      1.01700e+00      1.11600e+00      1.60000e+01     11s
    37      7.75000e-01      1.11600e+00      1.60000e+01     13s
    41      1.05100e+00      1.11600e+00      1.60000e+01     14s
    45      9.94000e-01      1.11600e+00      1.60000e+01     15s
    49      9.82000e-01      1.18100e+00      1.60000e+01     17s
    53      1.41600e+00      1.44400e+00      1.60000e+01     18s
    57      1.00600e+00      1.44400e+00      1.60000e+01     19s
    61      6.21000e-01      1.44400e+00      1.60000e+01     20s
    65      1.37800e+00      1.44400e+00      1.60000e+01     22s
    69      8.19000e-01      1.44400e+00      1.60000e+01     23s
    73      7.34000e-01      1.44400e+00      1.60000e+01     24s
    77      1.46300e+00      1.46300e+00      1.60000e+01     25s
    81      9.01000e-01      1.62400e+00      1.60000e+01     27s
    85      7.15000e-01      1.62400e+00      1.60000e+01     28s
    89      1.40900e+00      1.62400e+00      1.60000e+01     29s
    93      9.29000e-01      1.62400e+00      1.60000e+01     30s
    97      4.64000e-01      1.62400e+00      1.60000e+01     32s
   101      1.14800e+00      1.62400e+00      1.60000e+01     33s
   105      1.42300e+00      1.95700e+00      1.60000e+01     34s
   109      2.71000e-01      1.95700e+00      1.60000e+01     35s
   113      1.45200e+00      1.95700e+00      1.60000e+01     37s
   117      1.54700e+00      1.95700e+00      1.60000e+01     38s
   121      4.58000e-01      1.95700e+00      1.60000e+01     39s
   125      1.13800e+00      1.95700e+00      1.60000e+01     41s
   128      1.73900e+00      1.95700e+00      1.60000e+01     42s
   132      5.02000e-01      1.95700e+00      1.60000e+01     43s
   136      9.18000e-01      1.95700e+00      1.60000e+01     44s
   140      1.92800e+00      1.95700e+00      1.60000e+01     46s
   144      4.82000e-01      1.95700e+00      1.60000e+01     47s
   148      6.24000e-01      1.95700e+00      1.60000e+01     48s
   152      1.79300e+00      1.95700e+00      1.60000e+01     50s
   156      1.34000e+00      1.95700e+00      1.60000e+01     51s
   160      2.33000e-01      1.95700e+00      1.60000e+01     52s
   164      1.65100e+00      1.95700e+00      1.60000e+01     53s
   168      1.06100e+00      1.95700e+00      1.60000e+01     55s
   172      1.29000e-01      1.95700e+00      1.60000e+01     56s
   176      1.63800e+00      1.95700e+00      1.60000e+01     57s
   180      1.34300e+00      1.96600e+00      1.60000e+01     58s
   184      2.46000e-01      1.96600e+00      1.60000e+01     60s
   188      1.31000e+00      1.96600e+00      1.60000e+01     61s
   192      1.49300e+00      2.03000e+00      1.60000e+01     62s
   196      1.50000e-01      2.03000e+00      1.60000e+01     64s
   199      1.26600e+00      2.03000e+00      1.60000e+01     65s
   202      1.80700e+00      2.03000e+00      1.60000e+01     66s
   206      1.14200e+00      2.03000e+00      1.60000e+01     67s
   210      1.72000e-01      2.03000e+00      1.60000e+01     68s
   213      1.38600e+00      2.03000e+00      1.60000e+01     69s
   217      1.71000e+00      2.03000e+00      1.60000e+01     70s
   221     -7.30000e-02      2.03000e+00      1.60000e+01     72s
   225      1.10200e+00      2.03000e+00      1.60000e+01     73s
   229      1.83000e+00      2.03000e+00      1.60000e+01     74s
   233      2.09000e-01      2.03000e+00      1.60000e+01     75s
   237      1.20100e+00      2.03000e+00      1.60000e+01     77s
   241      1.86500e+00      2.03000e+00      1.60000e+01     78s
   245      4.93000e-01      2.03000e+00      1.60000e+01     79s
   249      8.86000e-01      2.03000e+00      1.60000e+01     80s
   253      1.61000e+00      2.03000e+00      1.60000e+01     82s
   256      7.94000e-01      2.03000e+00      1.60000e+01     83s
   260      4.36000e-01      2.03000e+00      1.60000e+01     84s
   264      1.57400e+00      2.03000e+00      1.70000e+01     85s
   268      1.16300e+00      2.03000e+00      1.70000e+01     87s
   272      5.97000e-01      2.03000e+00      1.70000e+01     88s
   276      1.46400e+00      2.03000e+00      1.70000e+01     89s
   279      1.52600e+00      2.03000e+00      1.70000e+01     90s
   283      3.34000e-01      2.03000e+00      1.70000e+01     92s
   286      8.61000e-01      2.03000e+00      1.70000e+01     93s
   290      1.80000e+00      2.03000e+00      1.70000e+01     94s
   294      8.74000e-01      2.03000e+00      1.70000e+01     95s
   298      6.89000e-01      2.03000e+00      1.70000e+01     96s
   302      1.73100e+00      2.03000e+00      1.70000e+01     98s
   306      1.05900e+00      2.03000e+00      1.70000e+01     99s
   310      7.13000e-01      2.03000e+00      1.70000e+01    100s
   314      1.54200e+00      2.03000e+00      1.70000e+01    101s
   318      1.10800e+00      2.03000e+00      1.70000e+01    103s
   322      4.80000e-01      2.03000e+00      1.70000e+01    104s
   326      1.26700e+00      2.03000e+00      1.70000e+01    105s
   330      1.42900e+00      2.03000e+00      1.70000e+01    106s
   334      5.66000e-01      2.03000e+00      1.70000e+01    108s
   338      1.30300e+00      2.03000e+00      1.70000e+01    109s
   342      1.31400e+00      2.03000e+00      1.70000e+01    110s
   346      5.05000e-01      2.03000e+00      1.70000e+01    111s
   350      7.82000e-01      2.03000e+00      1.70000e+01    113s
   354      1.00300e+00      2.03000e+00      1.70000e+01    114s
   358      7.43000e-01      2.03000e+00      1.70000e+01    115s
   362      9.28000e-01      2.03000e+00      1.70000e+01    116s
   366      1.16600e+00      2.03000e+00      1.70000e+01    117s
   370      8.28000e-01      2.03000e+00      1.70000e+01    119s
   374      9.63000e-01      2.03000e+00      1.70000e+01    120s
   378      1.26500e+00      2.03000e+00      1.70000e+01    121s
   382      7.07000e-01      2.03000e+00      1.70000e+01    123s
