==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           26
Number of edges:              72
Number of partitions:         2

Density (%):                  22
Name of instance:             seed1_band_fold
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     1      6.82800e+00      6.82800e+00      2.40000e+01      1s
     5      6.41700e+00      6.82800e+00      2.60000e+01      2s
     9      6.44500e+00      6.85800e+00      2.60000e+01      3s
    13      6.41100e+00      6.85800e+00      2.60000e+01      5s
    17      6.58300e+00      6.85800e+00      2.60000e+01      6s
    21      6.68400e+00      6.85800e+00      2.60000e+01      7s
    25      6.67200e+00      6.85800e+00      2.60000e+01      8s
    29      6.58000e+00      6.85800e+00      2.60000e+01      9s
    33      6.59900e+00      6.87500e+00      2.60000e+01     10s
    37      6.42700e+00      6.87500e+00      2.60000e+01     11s
    41      6.81100e+00      6.87500e+00      2.60000e+01     13s
    45      6.63800e+00      6.87500e+00      2.60000e+01     14s
    49      6.39500e+00      6.87500e+00      2.60000e+01     15s
    53      7.29200e+00      7.29200e+00      2.60000e+01     16s
    57      6.10500e+00      7.76000e+00      2.60000e+01     17s
    61      5.98000e+00      7.76000e+00      2.60000e+01     18s
    65      7.80200e+00      7.80200e+00      2.60000e+01     19s
    69      5.95600e+00      7.80200e+00      2.60000e+01     21s
    73      5.65300e+00      7.80200e+00      2.60000e+01     22s
    77      7.53400e+00      7.80200e+00      2.60000e+01     23s
    81      6.34900e+00      7.80200e+00      2.60000e+01     24s
    85      5.64900e+00      7.80200e+00      2.60000e+01     25s
    89      7.56500e+00      7.80200e+00      2.60000e+01     26s
    93      6.07100e+00      7.80200e+00      2.60000e+01     27s
    97      5.34800e+00      7.80200e+00      2.60000e+01     29s
   101      7.49600e+00      7.80200e+00      2.60000e+01     30s
   105      7.57600e+00      8.23900e+00      2.60000e+01     31s
   109      4.78800e+00      8.23900e+00      2.60000e+01     32s
   113      7.37600e+00      8.23900e+00      2.60000e+01     33s
   117      7.76000e+00      8.46700e+00      2.60000e+01     34s
   121      4.75600e+00      8.46700e+00      2.60000e+01     35s
   125      6.99000e+00      8.46700e+00      2.60000e+01     37s
   129      7.87800e+00      8.50400e+00      2.60000e+01     38s
   133      5.15000e+00      8.50400e+00      2.60000e+01     39s
   137      6.80500e+00      8.50400e+00      2.60000e+01     40s
   141      8.09900e+00      8.50400e+00      2.60000e+01     41s
   145      5.38800e+00      8.50400e+00      2.60000e+01     42s
   149      6.56900e+00      8.50400e+00      2.60000e+01     44s
   153      8.60500e+00      8.60500e+00      2.60000e+01     45s
   157      6.06800e+00      8.60500e+00      2.60000e+01     46s
   161      5.37400e+00      8.60500e+00      2.60000e+01     47s
   165      8.72100e+00      8.72100e+00      2.60000e+01     48s
   169      6.15100e+00      8.72100e+00      2.60000e+01     49s
   173      5.21100e+00      8.72100e+00      2.60000e+01     50s
   177      8.31200e+00      8.72100e+00      2.60000e+01     51s
   181      6.21900e+00      8.72100e+00      2.60000e+01     53s
   185      4.95200e+00      8.72100e+00      2.60000e+01     54s
   189      8.30200e+00      8.72100e+00      2.60000e+01     55s
   193      6.57300e+00      8.72100e+00      2.60000e+01     56s
   197      4.73000e+00      8.72100e+00      2.60000e+01     57s
   201      7.31100e+00      8.72100e+00      2.60000e+01     58s
   205      7.44400e+00      8.72100e+00      2.60000e+01     60s
   209      5.00100e+00      8.72100e+00      2.60000e+01     61s
   213      7.13500e+00      8.72100e+00      2.60000e+01     62s
   217      7.76300e+00      8.72100e+00      2.60000e+01     63s
   221      5.36700e+00      8.72100e+00      2.60000e+01     64s
   225      6.96400e+00      8.72100e+00      2.60000e+01     65s
   229      7.96200e+00      8.72100e+00      2.60000e+01     66s
   233      5.11400e+00      8.72100e+00      2.60000e+01     68s
   237      6.70100e+00      8.72100e+00      2.60000e+01     69s
   241      7.95200e+00      8.72100e+00      2.60000e+01     70s
   245      5.32100e+00      8.72100e+00      2.60000e+01     71s
   249      6.26800e+00      8.72100e+00      2.60000e+01     72s
   253      7.73500e+00      8.72100e+00      2.60000e+01     73s
   257      6.30700e+00      8.72100e+00      2.60000e+01     75s
   261      6.17400e+00      8.72100e+00      2.60000e+01     76s
   265      7.75700e+00      8.72100e+00      2.60000e+01     77s
   269      6.31200e+00      8.72100e+00      2.60000e+01     78s
   273      5.78000e+00      8.72100e+00      2.60000e+01     79s
   277      7.62700e+00      8.72100e+00      2.60000e+01     80s
   281      6.74300e+00      8.72100e+00      2.60000e+01     81s
   285      5.80300e+00      8.72100e+00      2.60000e+01     83s
   289      7.39900e+00      8.72100e+00      2.60000e+01     84s
   293      6.48000e+00      8.72100e+00      2.60000e+01     85s
   297      5.68000e+00      8.72100e+00      2.60000e+01     86s
   301      6.91000e+00      8.72100e+00      2.60000e+01     87s
   305      7.19600e+00      8.72100e+00      2.60000e+01     88s
   309      5.60500e+00      8.72100e+00      2.60000e+01     90s
   313      6.78500e+00      8.72100e+00      2.60000e+01     91s
   317      7.08900e+00      8.72100e+00      2.60000e+01     92s
   321      5.95600e+00      8.72100e+00      2.60000e+01     93s
   325      6.81000e+00      8.72100e+00      2.60000e+01     94s
   329      7.14200e+00      8.72100e+00      2.60000e+01     95s
   333      5.62600e+00      8.72100e+00      2.60000e+01     96s
   337      6.30800e+00      8.72100e+00      2.60000e+01     98s
   341      7.46400e+00      8.72100e+00      2.60000e+01     99s
