==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              12
Number of partitions:         2

Density (%):                  80
Name of instance:             seed1_band_pen1.2
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     5      2.03200e+00      2.05100e+00      7.00000e+00      1s
    25      2.03000e+00      2.10600e+00      7.00000e+00      2s
    42      1.94300e+00      2.14100e+00      7.00000e+00      3s
    62      1.97500e+00      2.15800e+00      7.00000e+00      4s
    76      1.83900e+00      2.20300e+00      7.00000e+00      5s
    92      1.93700e+00      2.20300e+00      7.00000e+00      6s
   109      2.18500e+00      2.22700e+00      7.00000e+00      7s
   125      1.93800e+00      2.35400e+00      7.00000e+00      8s
   141      1.76900e+00      2.35400e+00      7.00000e+00     10s
   168      1.76800e+00      2.36900e+00      7.00000e+00     11s
   192      1.77200e+00      2.39700e+00      7.00000e+00     12s
   210      2.25200e+00      2.41700e+00      7.00000e+00     13s
   229      1.26000e+00      2.44300e+00      7.00000e+00     14s
   252      1.56500e+00      2.47200e+00      7.00000e+00     15s
   269      1.92300e+00      2.47200e+00      7.00000e+00     16s
   290      1.48500e+00      2.47200e+00      7.00000e+00     17s
   310      2.08000e+00      2.47200e+00      7.00000e+00     18s
   326      1.61600e+00      2.47200e+00      7.00000e+00     19s
   341      1.62800e+00      2.47200e+00      7.00000e+00     20s
   359      1.97000e+00      2.47200e+00      7.00000e+00     21s
   382      1.95000e+00      2.47200e+00      7.00000e+00     22s
   403      1.64400e+00      2.47200e+00      7.00000e+00     23s
   423      2.03100e+00      2.47200e+00      7.00000e+00     24s
   439      1.85600e+00      2.47200e+00      7.00000e+00     25s
   457      1.70500e+00      2.47200e+00      7.00000e+00     26s
   475      2.02800e+00      2.47200e+00      7.00000e+00     27s
   492      1.52400e+00      2.47200e+00      7.00000e+00     28s
   508      1.72100e+00      2.47200e+00      7.00000e+00     29s
   523      1.95300e+00      2.47200e+00      7.00000e+00     30s
   540      1.78400e+00      2.47200e+00      7.00000e+00     32s
   558      1.85700e+00      2.47200e+00      7.00000e+00     33s
   582      1.86600e+00      2.47200e+00      7.00000e+00     34s
   603      2.02600e+00      2.47200e+00      7.00000e+00     35s
   623      1.92400e+00      2.47200e+00      7.00000e+00     36s
   641      1.93900e+00      2.47200e+00      7.00000e+00     37s
   660      1.98800e+00      2.47200e+00      7.00000e+00     38s
   678      2.02100e+00      2.47200e+00      7.00000e+00     39s
   696      1.99100e+00      2.47200e+00      7.00000e+00     40s
   712      2.03400e+00      2.47200e+00      7.00000e+00     41s
   733      2.07900e+00      2.47200e+00      7.00000e+00     42s
   750      2.05100e+00      2.47200e+00      7.00000e+00     43s
   771      2.03700e+00      2.47200e+00      7.00000e+00     44s
   796      2.05600e+00      2.47200e+00      7.00000e+00     45s
   815      1.98000e+00      2.47200e+00      7.00000e+00     46s
   837      1.98400e+00      2.47200e+00      7.00000e+00     47s
   855      1.87500e+00      2.47200e+00      7.00000e+00     48s
   872      2.16700e+00      2.47200e+00      7.00000e+00     49s
   888      1.86100e+00      2.47200e+00      7.00000e+00     50s
   903      1.73700e+00      2.47200e+00      7.00000e+00     51s
   916      1.94400e+00      2.47200e+00      7.00000e+00     52s
   936      1.99300e+00      2.47200e+00      7.00000e+00     53s
   953      1.79400e+00      2.47200e+00      7.00000e+00     54s
   970      2.40700e+00      2.47200e+00      7.00000e+00     55s
   988      1.79800e+00      2.47200e+00      7.00000e+00     56s
  1010      2.20000e+00      2.47200e+00      7.00000e+00     57s
  1029      1.76900e+00      2.47200e+00      7.00000e+00     58s
  1046      2.51200e+00      2.51200e+00      7.00000e+00     60s
  1062      1.99500e+00      2.51200e+00      7.00000e+00     61s
  1078      1.69800e+00      2.51200e+00      7.00000e+00     62s
  1097      2.37200e+00      2.51200e+00      7.00000e+00     63s
  1115      1.83200e+00      2.51200e+00      7.00000e+00     64s
  1130      1.93100e+00      2.51200e+00      7.00000e+00     65s
  1149      1.92100e+00      2.51200e+00      7.00000e+00     66s
  1163      1.99800e+00      2.51200e+00      7.00000e+00     67s
  1182      2.05100e+00      2.51200e+00      7.00000e+00     68s
  1206      1.99200e+00      2.51200e+00      7.00000e+00     69s
  1224      2.00100e+00      2.51200e+00      7.00000e+00     70s
  1242      2.01900e+00      2.51200e+00      7.00000e+00     71s
  1260      1.85300e+00      2.51200e+00      7.00000e+00     72s
  1276      2.02500e+00      2.51200e+00      7.00000e+00     73s
  1293      1.96100e+00      2.51200e+00      7.00000e+00     74s
  1310      1.91600e+00      2.51200e+00      7.00000e+00     75s
  1327      2.24200e+00      2.51200e+00      7.00000e+00     76s
  1348      1.98900e+00      2.51200e+00      7.00000e+00     77s
  1365      2.24300e+00      2.51200e+00      7.00000e+00     78s
  1382      1.98000e+00      2.51200e+00      7.00000e+00     79s
  1409      1.95600e+00      2.51200e+00      7.00000e+00     80s
  1428      2.43300e+00      2.51200e+00      7.00000e+00     81s
  1448      1.89400e+00      2.51200e+00      7.00000e+00     82s
  1467      2.17900e+00      2.51200e+00      7.00000e+00     83s
  1487      2.03100e+00      2.51200e+00      7.00000e+00     84s
  1505      2.29700e+00      2.51200e+00      7.00000e+00     85s
  1523      1.89700e+00      2.51200e+00      7.00000e+00     86s
  1542      2.04700e+00      2.51200e+00      7.00000e+00     88s
  1560      1.91100e+00      2.51200e+00      7.00000e+00     89s
  1579      2.25000e+00      2.51200e+00      7.00000e+00     90s
  1596      1.76200e+00      2.51200e+00      7.00000e+00     91s
  1623      1.85900e+00      2.51200e+00      7.00000e+00     92s
  1640      2.13500e+00      2.51200e+00      7.00000e+00     93s
  1661      2.06500e+00      2.51200e+00      7.00000e+00     94s
  1682      1.99400e+00      2.51200e+00      7.00000e+00     95s
  1700      2.06600e+00      2.51200e+00      7.00000e+00     96s
  1714      2.05800e+00      2.51200e+00      7.00000e+00     97s
  1731      1.97100e+00      2.51200e+00      7.00000e+00     98s
  1745      2.10500e+00      2.51200e+00      7.00000e+00     99s
  1765      2.07600e+00      2.51200e+00      7.00000e+00    100s
  1784      1.99500e+00      2.51200e+00      7.00000e+00    101s
  1800      1.95000e+00      2.51200e+00      7.00000e+00    102s
