==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           4
Number of edges:              6
Number of partitions:         3

Density (%):                  100
Name of instance:             seed1_band_pen1.2
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     6     -1.72920e+00     -1.61880e+00      4.00000e+00      1s
    22     -1.69480e+00     -1.53180e+00      4.00000e+00      2s
    37     -1.62940e+00     -1.46140e+00      4.00000e+00      3s
    52     -9.42000e-01     -9.42000e-01      4.00000e+00      4s
    67     -2.34960e+00     -6.70800e-01      4.00000e+00      5s
    82     -1.26060e+00     -6.70800e-01      4.00000e+00      6s
    97     -2.37780e+00     -6.70800e-01      4.00000e+00      7s
   111     -1.53860e+00     -1.11000e-01      4.00000e+00      8s
   125     -1.27000e+00     -1.11000e-01      4.00000e+00      9s
   139     -2.18580e+00     -1.07200e-01      4.00000e+00     10s
   154      1.76400e-01      2.07400e-01      4.00000e+00     11s
   168     -4.85800e+00      2.07400e-01      4.00000e+00     12s
   184     -1.37720e+00      2.91400e-01      4.00000e+00     13s
   199     -1.68600e+00      2.91400e-01      4.00000e+00     14s
   215     -3.11700e+00      3.39000e-01      4.00000e+00     15s
   231     -4.66000e-01      3.87200e-01      4.00000e+00     16s
   247     -3.76700e+00      3.87200e-01      4.00000e+00     17s
   263     -1.82000e+00      3.87200e-01      4.00000e+00     18s
   279      7.06000e-02      3.87200e-01      4.00000e+00     19s
   295     -5.65680e+00      3.87200e-01      4.00000e+00     21s
   311     -1.42040e+00      3.87200e-01      4.00000e+00     22s
   327     -4.02000e-02      3.87200e-01      4.00000e+00     23s
   343     -5.36280e+00      3.87200e-01      4.00000e+00     24s
   359     -1.24700e+00      3.87200e-01      4.00000e+00     25s
   375     -1.39160e+00      3.87200e-01      4.00000e+00     26s
   391     -3.82200e+00      3.87200e-01      4.00000e+00     27s
   407     -8.76800e-01      3.87200e-01      4.00000e+00     28s
   423     -2.53460e+00      3.87200e-01      4.00000e+00     29s
   439     -2.51420e+00      3.87200e-01      4.00000e+00     30s
   455     -7.81600e-01      3.87200e-01      4.00000e+00     31s
   472     -2.59480e+00      3.87200e-01      4.00000e+00     32s
   487     -1.65900e+00      3.87200e-01      4.00000e+00     33s
   502     -1.38800e+00      3.87200e-01      4.00000e+00     34s
   518     -2.54440e+00      3.87200e-01      4.00000e+00     35s
   533     -1.10100e+00      3.87200e-01      4.00000e+00     36s
   548     -1.88300e+00      3.87200e-01      4.00000e+00     37s
   563     -1.59060e+00      3.87200e-01      4.00000e+00     38s
   578     -1.41200e+00      3.87200e-01      4.00000e+00     39s
   593     -1.98480e+00      3.87200e-01      4.00000e+00     40s
   607     -1.34460e+00      3.87200e-01      4.00000e+00     41s
   622     -1.60040e+00      3.87200e-01      4.00000e+00     42s
   636     -1.50800e+00      3.87200e-01      4.00000e+00     43s
   654     -1.73840e+00      3.87200e-01      4.00000e+00     44s
   671     -1.53880e+00      3.87200e-01      4.00000e+00     45s
   687     -1.67620e+00      3.87200e-01      4.00000e+00     46s
   702     -1.70120e+00      3.87200e-01      4.00000e+00     47s
   717     -1.78480e+00      3.87200e-01      4.00000e+00     48s
   732     -1.54740e+00      3.87200e-01      4.00000e+00     49s
   747     -1.62540e+00      3.87200e-01      4.00000e+00     50s
