==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              14
Number of partitions:         3

Density (%):                  93
Name of instance:             seed1_band_pen1.8
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     1     -9.30880e+00     -9.20600e+00      5.00000e+00      1s
     6     -9.15020e+00     -8.90160e+00      5.00000e+00      2s
    11     -9.61120e+00     -8.90160e+00      6.00000e+00      3s
    16     -9.25060e+00     -8.87260e+00      6.00000e+00      5s
    21     -9.41200e+00     -8.87260e+00      6.00000e+00      6s
    27     -9.04080e+00     -8.76640e+00      6.00000e+00      7s
    32     -8.97260e+00     -8.76640e+00      7.00000e+00      8s
    37     -9.54180e+00     -8.76640e+00      7.00000e+00      9s
    42     -9.50860e+00     -8.76640e+00      7.00000e+00     10s
    47     -9.34880e+00     -8.57120e+00      7.00000e+00     11s
    53     -2.72160e+00     -2.72160e+00      7.00000e+00     12s
    58     -8.78180e+00     -2.72160e+00      7.00000e+00     13s
    64     -9.58740e+00     -2.72160e+00      7.00000e+00     14s
    69     -1.87708e+01     -2.72160e+00      7.00000e+00     15s
    74     -1.04392e+01     -2.72160e+00      7.00000e+00     16s
    78     -2.64440e+00     -2.64440e+00      7.00000e+00     17s
    83     -9.33660e+00     -2.64440e+00      7.00000e+00     19s
    88     -9.46780e+00     -2.64440e+00      7.00000e+00     20s
    94     -1.94026e+01     -2.64440e+00      7.00000e+00     21s
    99     -9.00320e+00     -2.64440e+00      7.00000e+00     22s
   104     -1.95120e+00     -1.29900e+00      7.00000e+00     23s
   109     -1.02368e+01     -1.29900e+00      7.00000e+00     24s
   114     -1.02948e+01     -1.29900e+00      7.00000e+00     25s
   119     -2.52064e+01     -1.29900e+00      7.00000e+00     26s
   125     -6.84220e+00     -1.29900e+00      7.00000e+00     27s
   130     -5.09280e+00     -1.29900e+00      7.00000e+00     28s
   136     -9.51560e+00     -1.29900e+00      7.00000e+00     30s
   141     -1.81632e+01     -1.29900e+00      7.00000e+00     31s
   147     -1.90878e+01     -1.29900e+00      7.00000e+00     32s
   153     -3.40460e+00     -1.29900e+00      7.00000e+00     33s
   159     -1.06360e+01     -1.29900e+00      7.00000e+00     34s
   164     -1.08598e+01     -1.29900e+00      7.00000e+00     35s
   170     -2.44528e+01     -1.29900e+00      7.00000e+00     36s
   175     -7.60500e+00     -1.29900e+00      7.00000e+00     37s
   179     -5.31600e+00     -1.29900e+00      7.00000e+00     38s
   185     -9.42680e+00     -1.29900e+00      7.00000e+00     39s
   190     -1.49956e+01     -1.29900e+00      7.00000e+00     40s
   196     -2.09078e+01     -1.29900e+00      7.00000e+00     41s
   201     -6.96800e+00     -1.29900e+00      7.00000e+00     43s
   206     -9.89120e+00     -1.29900e+00      7.00000e+00     44s
   212     -9.41520e+00     -1.29900e+00      7.00000e+00     45s
   217     -1.73230e+01     -1.29900e+00      7.00000e+00     46s
   222     -1.64642e+01     -1.29900e+00      7.00000e+00     47s
   227     -5.77520e+00     -1.29900e+00      7.00000e+00     48s
   232     -1.09772e+01     -1.29900e+00      7.00000e+00     49s
   237     -8.93160e+00     -1.29900e+00      7.00000e+00     50s
   242     -1.78668e+01     -1.29900e+00      7.00000e+00     51s
   248     -1.20062e+01     -1.29900e+00      7.00000e+00     53s
   253     -7.56920e+00     -1.29900e+00      7.00000e+00     54s
   258     -1.05758e+01     -1.29900e+00      7.00000e+00     55s
   263     -9.18960e+00     -1.29900e+00      7.00000e+00     56s
   268     -1.40258e+01     -1.29900e+00      7.00000e+00     57s
   274     -9.72240e+00     -1.29900e+00      7.00000e+00     58s
   280     -9.25880e+00     -1.29900e+00      7.00000e+00     59s
   285     -9.68880e+00     -1.29900e+00      7.00000e+00     60s
   290     -1.08714e+01     -1.29900e+00      7.00000e+00     61s
   295     -1.43432e+01     -1.29900e+00      7.00000e+00     63s
   300     -9.02120e+00     -1.29900e+00      7.00000e+00     64s
   305     -9.73720e+00     -1.29900e+00      7.00000e+00     65s
   309     -1.04160e+01     -1.29900e+00      7.00000e+00     66s
   314     -8.92920e+00     -1.29900e+00      7.00000e+00     67s
   319     -1.01680e+01     -1.29900e+00      7.00000e+00     68s
   324     -9.11000e+00     -1.29900e+00      7.00000e+00     69s
   330     -1.04530e+01     -1.29900e+00      7.00000e+00     70s
   335     -9.69180e+00     -1.29900e+00      7.00000e+00     71s
   341     -9.35140e+00     -1.29900e+00      7.00000e+00     73s
   346     -9.72580e+00     -1.29900e+00      7.00000e+00     74s
   351     -9.29920e+00     -1.29900e+00      7.00000e+00     75s
   357     -1.16628e+01     -1.29900e+00      7.00000e+00     76s
   362     -9.50280e+00     -1.29900e+00      7.00000e+00     77s
   367     -9.22820e+00     -1.29900e+00      7.00000e+00     78s
   372     -9.01060e+00     -1.29900e+00      7.00000e+00     79s
   377     -1.02004e+01     -1.29900e+00      7.00000e+00     80s
   382     -1.18334e+01     -1.29900e+00      7.00000e+00     81s
   387     -9.18500e+00     -1.29900e+00      7.00000e+00     82s
   392     -9.35220e+00     -1.29900e+00      7.00000e+00     83s
   397     -9.09060e+00     -1.29900e+00      7.00000e+00     85s
   402     -8.88500e+00     -1.29900e+00      7.00000e+00     86s
   407     -1.11356e+01     -1.29900e+00      7.00000e+00     87s
   412     -9.55600e+00     -1.29900e+00      7.00000e+00     88s
   417     -9.85040e+00     -1.29900e+00      7.00000e+00     89s
   422     -1.04352e+01     -1.29900e+00      7.00000e+00     90s
   427     -9.05340e+00     -1.29900e+00      7.00000e+00     91s
   432     -1.17218e+01     -1.29900e+00      7.00000e+00     92s
   437     -8.88240e+00     -1.29900e+00      7.00000e+00     93s
   441     -9.13780e+00     -1.29900e+00      7.00000e+00     94s
   446     -1.03496e+01     -1.29900e+00      7.00000e+00     95s
   451     -7.87200e+00     -1.29900e+00      7.00000e+00     97s
   456     -9.12600e+00     -1.29900e+00      7.00000e+00     98s
   461     -1.06094e+01     -1.29900e+00      7.00000e+00     99s
   466     -8.80080e+00     -1.29900e+00      7.00000e+00    100s
   472     -1.24106e+01     -1.29900e+00      7.00000e+00    101s
   477     -7.27560e+00     -1.29900e+00      7.00000e+00    102s
   482     -1.08428e+01     -1.29900e+00      7.00000e+00    103s
   487     -8.87720e+00     -1.29900e+00      7.00000e+00    104s
