==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              15
Number of partitions:         4

Density (%):                  100
Name of instance:             seed1_band_pen1.8
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -3.31520e+01     -3.31520e+01      8.00000e+00      2s
     3     -3.36150e+01     -3.23210e+01      9.00000e+00      3s
     5     -3.25350e+01     -3.23210e+01      9.00000e+00      4s
     8     -3.21820e+01     -3.21820e+01      9.00000e+00      5s
    11     -3.28520e+01     -3.21820e+01      9.00000e+00      7s
    14     -3.26080e+01     -3.21820e+01      9.00000e+00      8s
    17     -3.24340e+01     -3.21820e+01      9.00000e+00      9s
    21     -3.37070e+01     -3.21820e+01      9.00000e+00     11s
    24     -3.45160e+01     -3.21820e+01      9.00000e+00     12s
    27     -3.31580e+01     -3.21820e+01      9.00000e+00     13s
    29     -3.41710e+01     -3.21820e+01      9.00000e+00     15s
    32     -3.29020e+01     -3.21820e+01      9.00000e+00     16s
    35     -3.42990e+01     -3.21820e+01      9.00000e+00     17s
    38     -3.38000e+01     -3.21820e+01      9.00000e+00     19s
    40     -3.45340e+01     -3.21820e+01      9.00000e+00     20s
    44     -3.24850e+01     -3.21820e+01      9.00000e+00     21s
    46     -3.34070e+01     -3.21820e+01      9.00000e+00     22s
    49     -3.35980e+01     -3.21820e+01      9.00000e+00     24s
    52     -1.22600e+01     -1.22600e+01      9.00000e+00     25s
    55     -6.49900e+00     -5.15400e+00      9.00000e+00     26s
    59     -1.45750e+01     -5.15400e+00      9.00000e+00     28s
    62     -3.12960e+01     -5.15400e+00      9.00000e+00     29s
    64     -5.74820e+01     -5.15400e+00      9.00000e+00     30s
    67     -1.01523e+02     -5.15400e+00      9.00000e+00     31s
    72     -7.67830e+01     -5.15400e+00      9.00000e+00     33s
    75     -2.40750e+01     -5.15400e+00      9.00000e+00     34s
    78     -6.35600e+00     -5.15400e+00      9.00000e+00     36s
    81     -1.01170e+01     -5.15400e+00      9.00000e+00     37s
    84     -1.37640e+01     -5.15400e+00      9.00000e+00     38s
    87     -3.69350e+01     -5.15400e+00      9.00000e+00     40s
    90     -8.31630e+01     -5.15400e+00      9.00000e+00     41s
    93     -1.10936e+02     -5.15400e+00      9.00000e+00     42s
    97     -6.79230e+01     -5.15400e+00      9.00000e+00     44s
    99     -3.32150e+01     -5.15400e+00      9.00000e+00     45s
   102     -4.23790e+01     -5.15400e+00      9.00000e+00     46s
   105     -5.15700e+01     -5.15400e+00      9.00000e+00     48s
   108     -3.71490e+01     -5.15400e+00      9.00000e+00     49s
   111     -2.78950e+01     -5.15400e+00      9.00000e+00     51s
   113     -3.71530e+01     -5.15400e+00      9.00000e+00     52s
   116     -5.68370e+01     -5.15400e+00      9.00000e+00     53s
   119     -5.15420e+01     -5.15400e+00      9.00000e+00     54s
   122     -3.25900e+01     -5.15400e+00      9.00000e+00     56s
   125     -3.53730e+01     -5.15400e+00      9.00000e+00     57s
   128     -5.07380e+01     -5.15400e+00      9.00000e+00     58s
   130     -4.91160e+01     -5.15400e+00      9.00000e+00     59s
   133     -3.41730e+01     -5.15400e+00      9.00000e+00     60s
   136     -3.00340e+01     -5.15400e+00      9.00000e+00     62s
   139     -4.63080e+01     -5.15400e+00      9.00000e+00     63s
   141     -5.71470e+01     -5.15400e+00      9.00000e+00     64s
   144     -4.73600e+01     -5.15400e+00      9.00000e+00     65s
   147     -3.02410e+01     -5.15400e+00      9.00000e+00     67s
   150     -3.41150e+01     -5.15400e+00      9.00000e+00     68s
   153     -3.83300e+01     -5.15400e+00      9.00000e+00     69s
   155     -4.67960e+01     -5.15400e+00      9.00000e+00     71s
   157     -4.93180e+01     -5.15400e+00      9.00000e+00     72s
   159     -4.24970e+01     -5.15400e+00      9.00000e+00     73s
   161     -3.55630e+01     -5.15400e+00      9.00000e+00     74s
   163     -3.42340e+01     -5.15400e+00      9.00000e+00     75s
   165     -3.60720e+01     -5.15400e+00      9.00000e+00     76s
   169     -4.74900e+01     -5.15400e+00      9.00000e+00     77s
   172     -3.86090e+01     -5.15400e+00      9.00000e+00     79s
   174     -3.40470e+01     -5.15400e+00      9.00000e+00     80s
   177     -3.72510e+01     -5.15400e+00      9.00000e+00     81s
   180     -4.64880e+01     -5.15400e+00      9.00000e+00     82s
   183     -4.64960e+01     -5.15400e+00      9.00000e+00     84s
   185     -3.71830e+01     -5.15400e+00      9.00000e+00     85s
   188     -3.33650e+01     -5.15400e+00      9.00000e+00     87s
   191     -4.25730e+01     -5.15400e+00      9.00000e+00     88s
   194     -4.56650e+01     -5.15400e+00      9.00000e+00     89s
   197     -3.77000e+01     -5.15400e+00      9.00000e+00     90s
   200     -3.23850e+01     -5.15400e+00      9.00000e+00     91s
   203     -4.42150e+01     -5.15400e+00      9.00000e+00     93s
   206     -4.87910e+01     -5.15400e+00      9.00000e+00     94s
   208     -4.43460e+01     -5.15400e+00      9.00000e+00     95s
   210     -3.74150e+01     -5.15400e+00      9.00000e+00     96s
   213     -3.21490e+01     -5.15400e+00      9.00000e+00     98s
   216     -3.70000e+01     -5.15400e+00      9.00000e+00     99s
   220     -3.40680e+01     -5.15400e+00      9.00000e+00    100s
   223     -3.17940e+01     -5.15400e+00      9.00000e+00    102s
   226     -3.77710e+01     -5.15400e+00      9.00000e+00    103s
   229     -4.72570e+01     -5.15400e+00      9.00000e+00    105s
   232     -4.79250e+01     -5.15400e+00      9.00000e+00    106s
   234     -3.91960e+01     -5.15400e+00      9.00000e+00    107s
   236     -3.39230e+01     -5.15400e+00      9.00000e+00    108s
   238     -3.26290e+01     -5.15400e+00      9.00000e+00    109s
   240     -3.64330e+01     -5.15400e+00      9.00000e+00    110s
   243     -3.75410e+01     -5.15400e+00      9.00000e+00    112s
