==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           26
Number of edges:              72
Number of partitions:         2

Density (%):                  22
Name of instance:             seed1_band
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      3.98800e+00      3.98800e+00      1.80000e+01      3s
     1      4.01200e+00      4.01200e+00      2.20000e+01      5s
     2      4.22000e+00      4.22000e+00      2.20000e+01      7s
     3      3.90000e+00      4.22000e+00      2.20000e+01      9s
     4      4.13700e+00      4.22000e+00      2.20000e+01     11s
     5      4.27400e+00      4.27400e+00      2.20000e+01     13s
     6      4.22700e+00      4.27400e+00      2.20000e+01     15s
     7      3.81500e+00      4.27400e+00      2.20000e+01     17s
     8      4.02000e+00      4.27400e+00      2.20000e+01     19s
     9      3.97000e+00      4.27400e+00      2.20000e+01     21s
    10      3.95500e+00      4.27400e+00      2.20000e+01     22s
    11      4.27900e+00      4.27900e+00      2.20000e+01     24s
    12      4.11800e+00      4.27900e+00      2.20000e+01     26s
    13      3.89400e+00      4.27900e+00      2.20000e+01     28s
    14      4.06800e+00      4.27900e+00      2.20000e+01     30s
    15      4.13600e+00      4.27900e+00      2.20000e+01     32s
    16      4.08000e+00      4.27900e+00      2.20000e+01     34s
    17      3.93200e+00      4.27900e+00      2.20000e+01     36s
    18      3.80200e+00      4.27900e+00      2.20000e+01     38s
    19      3.97400e+00      4.27900e+00      2.20000e+01     40s
    20      4.05300e+00      4.27900e+00      2.20000e+01     42s
    21      4.00800e+00      4.27900e+00      2.20000e+01     44s
    22      3.92100e+00      4.27900e+00      2.20000e+01     46s
    23      3.95200e+00      4.27900e+00      2.20000e+01     47s
    24      3.89600e+00      4.27900e+00      2.20000e+01     49s
    25      4.02800e+00      4.27900e+00      2.20000e+01     52s
    26      4.07300e+00      4.27900e+00      2.20000e+01     54s
    27      3.94200e+00      4.27900e+00      2.20000e+01     55s
