==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           27
Number of edges:              75
Number of partitions:         2

Density (%):                  21
Name of instance:             seed1_band_fold
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      5.10300e+00      5.10300e+00      2.10000e+01      1s
     2      5.05200e+00      5.16700e+00      2.10000e+01      3s
     4      5.03800e+00      5.16700e+00      2.20000e+01      4s
     6      5.34300e+00      5.34300e+00      2.20000e+01      6s
     8      5.07300e+00      5.34300e+00      2.20000e+01      7s
    10      4.93300e+00      5.34300e+00      2.20000e+01      9s
    12      4.95200e+00      5.34300e+00      2.20000e+01     10s
    14      4.99600e+00      5.34300e+00      2.20000e+01     11s
    16      5.30000e+00      5.34300e+00      2.20000e+01     13s
    18      5.17800e+00      5.34300e+00      2.20000e+01     14s
    20      4.78200e+00      5.34300e+00      2.30000e+01     16s
    22      4.97100e+00      5.34300e+00      2.30000e+01     17s
    24      4.80900e+00      5.34300e+00      2.30000e+01     19s
    26      4.96200e+00      5.34300e+00      2.30000e+01     20s
    28      4.48100e+00      5.34300e+00      2.30000e+01     21s
    30      4.95000e+00      5.34300e+00      2.30000e+01     23s
    32      4.92600e+00      5.34300e+00      2.30000e+01     24s
    34      4.93700e+00      5.34300e+00      2.30000e+01     26s
    36      5.01000e+00      5.34300e+00      2.30000e+01     27s
    38      5.42700e+00      5.42700e+00      2.40000e+01     29s
    40      4.89800e+00      5.42700e+00      2.40000e+01     30s
    42      5.02500e+00      5.42700e+00      2.40000e+01     32s
    44      5.10000e+00      5.42700e+00      2.40000e+01     33s
    46      5.06200e+00      5.42700e+00      2.40000e+01     35s
    48      5.15200e+00      5.42700e+00      2.40000e+01     36s
    50      5.33700e+00      5.42700e+00      2.40000e+01     38s
    52      4.48400e+00      5.42700e+00      2.40000e+01     39s
    54      4.74700e+00      5.42700e+00      2.40000e+01     40s
    56      5.57500e+00      5.57500e+00      2.40000e+01     42s
    58      5.82000e+00      5.82000e+00      2.40000e+01     43s
    60      5.62100e+00      5.82000e+00      2.40000e+01     45s
    62      5.01000e+00      5.82000e+00      2.40000e+01     46s
    64      5.14400e+00      5.82000e+00      2.40000e+01     48s
    66      4.67200e+00      5.82000e+00      2.40000e+01     49s
    68      5.26800e+00      5.82000e+00      2.40000e+01     50s
    70      5.70100e+00      5.82000e+00      2.40000e+01     52s
    72      5.60800e+00      5.82000e+00      2.40000e+01     53s
    74      4.81600e+00      5.82000e+00      2.40000e+01     55s
    76      4.83800e+00      5.82000e+00      2.40000e+01     56s
    78      4.73500e+00      5.82000e+00      2.40000e+01     58s
    80      5.41500e+00      5.82000e+00      2.40000e+01     59s
    82      5.54900e+00      5.82000e+00      2.40000e+01     60s
    84      5.62400e+00      5.82000e+00      2.40000e+01     62s
    86      5.43400e+00      5.82000e+00      2.40000e+01     63s
    88      5.01000e+00      5.82000e+00      2.40000e+01     65s
    90      4.55200e+00      5.82000e+00      2.40000e+01     66s
    92      5.36500e+00      5.82000e+00      2.40000e+01     68s
    94      5.77900e+00      5.82000e+00      2.40000e+01     69s
    96      5.56800e+00      5.82000e+00      2.40000e+01     71s
    98      5.23800e+00      5.82000e+00      2.40000e+01     72s
   100      4.84700e+00      5.82000e+00      2.40000e+01     73s
   102      4.37700e+00      5.82000e+00      2.40000e+01     75s
   104      5.37500e+00      5.82000e+00      2.40000e+01     77s
   106      6.01700e+00      6.01700e+00      2.40000e+01     78s
   108      6.59300e+00      6.59300e+00      2.40000e+01     79s
   110      5.98900e+00      6.61600e+00      2.40000e+01     81s
   112      5.34400e+00      6.61600e+00      2.40000e+01     82s
   114      4.64800e+00      6.61600e+00      2.40000e+01     84s
   116      4.89100e+00      6.61600e+00      2.40000e+01     85s
   118      5.71800e+00      6.61600e+00      2.40000e+01     86s
   120      6.57500e+00      6.61600e+00      2.40000e+01     88s
   122      6.00000e+00      6.61600e+00      2.40000e+01     89s
   124      5.09800e+00      6.61600e+00      2.40000e+01     91s
   126      4.37300e+00      6.61600e+00      2.40000e+01     93s
   128      5.16900e+00      6.61600e+00      2.40000e+01     94s
   130      5.80300e+00      6.61600e+00      2.40000e+01     96s
   132      6.52900e+00      6.61600e+00      2.40000e+01     97s
   134      6.33800e+00      6.61600e+00      2.40000e+01     99s
   136      5.49200e+00      6.61600e+00      2.40000e+01    100s
   138      4.60800e+00      6.61600e+00      2.40000e+01    102s
   140      4.53700e+00      6.61600e+00      2.40000e+01    103s
   142      5.76500e+00      6.61600e+00      2.40000e+01    104s
   144      6.44300e+00      6.61600e+00      2.40000e+01    106s
   146      6.32800e+00      6.61600e+00      2.40000e+01    107s
   148      5.49900e+00      6.61600e+00      2.40000e+01    109s
   150      5.02100e+00      6.61600e+00      2.40000e+01    110s
   152      4.32200e+00      6.61600e+00      2.40000e+01    112s
   154      5.53000e+00      6.61600e+00      2.40000e+01    113s
   156      6.47200e+00      6.61600e+00      2.40000e+01    115s
   158      6.94600e+00      6.94600e+00      2.40000e+01    116s
   160      6.53200e+00      6.94600e+00      2.40000e+01    117s
   162      5.20500e+00      6.94600e+00      2.40000e+01    119s
   164      4.10200e+00      6.94600e+00      2.40000e+01    120s
   166      4.91500e+00      6.94600e+00      2.40000e+01    122s
   168      6.20500e+00      6.94600e+00      2.40000e+01    123s
   170      7.11500e+00      7.11500e+00      2.40000e+01    125s
   172      6.61500e+00      7.37100e+00      2.40000e+01    126s
   174      5.59300e+00      7.37100e+00      2.40000e+01    128s
   176      4.51000e+00      7.37100e+00      2.40000e+01    129s
   178      5.24100e+00      7.37100e+00      2.40000e+01    131s
   180      6.20500e+00      7.37100e+00      2.40000e+01    133s
   182      7.10300e+00      7.37100e+00      2.40000e+01    134s
   184      6.58800e+00      7.37100e+00      2.40000e+01    136s
   186      5.34000e+00      7.37100e+00      2.40000e+01    137s
   188      4.28500e+00      7.37100e+00      2.40000e+01    139s
   190      4.56700e+00      7.37100e+00      2.40000e+01    140s
   192      6.10000e+00      7.37100e+00      2.40000e+01    143s
   194      7.01500e+00      7.37100e+00      2.40000e+01    144s
   196      6.72900e+00      7.37100e+00      2.40000e+01    146s
   198      5.39700e+00      7.37100e+00      2.40000e+01    147s
   200      5.16700e+00      7.37100e+00      2.40000e+01    148s
   202      4.43700e+00      7.37100e+00      2.40000e+01    150s
   204      4.95600e+00      7.37100e+00      2.40000e+01    151s
   206      6.37700e+00      7.37100e+00      2.40000e+01    153s
   208      6.66300e+00      7.37100e+00      2.40000e+01    154s
   210      6.02300e+00      7.37100e+00      2.40000e+01    156s
