==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              18
Number of partitions:         2

Density (%):                  64
Name of instance:             seed1_band_pen_naive
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           2.0
Gates Error Probability:      0.0
Naive Penalty Coef:           True
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     2     -1.46440e+01     -1.46440e+01      9.00000e+00      1s
     8     -1.45880e+01     -1.43530e+01      9.00000e+00      2s
    14     -1.43020e+01     -1.43020e+01      9.00000e+00      3s
    19     -1.47180e+01     -1.42510e+01      9.00000e+00      4s
    25     -1.48320e+01     -1.42510e+01      9.00000e+00      6s
    31     -1.45050e+01     -1.42510e+01      9.00000e+00      7s
    37     -1.45960e+01     -1.42510e+01      9.00000e+00      8s
    42     -1.47040e+01     -1.42510e+01      9.00000e+00      9s
    48     -1.46190e+01     -1.38880e+01      9.00000e+00     10s
    55     -9.29100e+00     -4.75600e+00      9.00000e+00     11s
    61     -1.98020e+01     -4.75600e+00      9.00000e+00     12s
    67     -9.28600e+00     -4.75600e+00      9.00000e+00     13s
    72     -2.41250e+01     -4.75600e+00      9.00000e+00     15s
    78     -5.07000e+00     -4.75600e+00      9.00000e+00     16s
    84     -2.38050e+01     -4.75600e+00      9.00000e+00     17s
    89     -6.41300e+00     -4.75600e+00      9.00000e+00     18s
    95     -2.31370e+01     -4.75600e+00      9.00000e+00     19s
   101     -7.50400e+00     -4.75600e+00      9.00000e+00     20s
   107     -2.07410e+01     -8.61000e-01      9.00000e+00     21s
   113     -9.65900e+00     -8.61000e-01      9.00000e+00     22s
   120     -2.60310e+01     -8.61000e-01      9.00000e+00     23s
   127     -1.11000e+00     -8.61000e-01      9.00000e+00     24s
   132     -2.38700e+01     -8.61000e-01      9.00000e+00     25s
   139     -2.66300e+00     -8.61000e-01      9.00000e+00     26s
