==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              18
Number of partitions:         3

Density (%):                  86
Name of instance:             seed1_band_pen_new_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           2.0
Gates Error Probability:      0.0
Naive Penalty Coef:           True
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -9.60460e+01     -9.60460e+01      2.00000e+00      1s
     3     -9.58680e+01     -9.28950e+01      5.00000e+00      3s
     8     -9.41050e+01     -9.26290e+01      6.00000e+00      4s
    11     -9.66710e+01     -9.26290e+01      6.00000e+00      5s
    14     -9.43200e+01     -9.26290e+01      7.00000e+00      6s
    18     -9.52220e+01     -9.26290e+01      7.00000e+00      7s
    23     -9.32270e+01     -9.26290e+01      7.00000e+00      8s
    27     -9.38100e+01     -9.26290e+01      7.00000e+00     10s
    30     -9.35760e+01     -9.26290e+01      7.00000e+00     11s
    34     -9.37610e+01     -9.24810e+01      8.00000e+00     12s
    39     -9.55910e+01     -9.24810e+01      8.00000e+00     13s
    42     -9.49640e+01     -9.24810e+01      8.00000e+00     14s
    45     -9.72140e+01     -9.24810e+01      8.00000e+00     15s
    49     -9.31570e+01     -9.24810e+01      8.00000e+00     17s
    53     -6.79660e+01     -6.69260e+01      8.00000e+00     18s
    58     -1.33710e+02     -6.69260e+01      8.00000e+00     19s
    62     -9.58020e+01     -6.69260e+01      8.00000e+00     20s
    66     -1.25074e+02     -6.69260e+01      8.00000e+00     22s
    71     -1.79324e+02     -6.69260e+01      8.00000e+00     23s
    74     -1.09419e+02     -6.69260e+01      8.00000e+00     24s
    78     -7.23120e+01     -6.37190e+01      8.00000e+00     25s
    82     -1.32716e+02     -6.37190e+01      8.00000e+00     26s
    86     -1.05405e+02     -6.37190e+01      8.00000e+00     27s
    90     -1.12835e+02     -6.37190e+01      8.00000e+00     28s
    94     -1.89248e+02     -6.37190e+01      8.00000e+00     30s
    98     -1.21606e+02     -6.37190e+01      8.00000e+00     31s
   102     -1.24417e+02     -6.37190e+01      8.00000e+00     32s
   107     -1.46976e+02     -6.37190e+01      8.00000e+00     33s
   111     -1.00894e+02     -6.37190e+01      8.00000e+00     34s
   114     -9.87820e+01     -6.37190e+01      8.00000e+00     35s
   118     -1.00190e+02     -6.37190e+01      8.00000e+00     37s
   123     -8.02590e+01     -6.37190e+01      8.00000e+00     38s
   127     -1.29092e+02     -6.37190e+01      8.00000e+00     39s
   130     -1.53948e+02     -6.37190e+01      8.00000e+00     40s
   134     -1.17665e+02     -6.37190e+01      8.00000e+00     41s
   139     -9.59250e+01     -6.37190e+01      8.00000e+00     43s
   142     -1.03447e+02     -6.37190e+01      8.00000e+00     44s
   146     -8.13940e+01     -6.37190e+01      8.00000e+00     45s
   149     -9.66020e+01     -6.37190e+01      8.00000e+00     46s
   153     -9.21820e+01     -6.37190e+01      8.00000e+00     47s
   158     -1.14869e+02     -6.37190e+01      8.00000e+00     49s
   161     -9.87770e+01     -6.37190e+01      8.00000e+00     50s
   164     -1.05643e+02     -6.37190e+01      8.00000e+00     51s
   168     -1.57362e+02     -6.37190e+01      8.00000e+00     52s
   173     -1.13897e+02     -6.37190e+01      8.00000e+00     53s
   177     -9.04410e+01     -6.37190e+01      8.00000e+00     54s
   181     -1.18615e+02     -6.37190e+01      8.00000e+00     56s
   185     -9.78800e+01     -6.37190e+01      8.00000e+00     57s
   190     -1.25797e+02     -6.37190e+01      8.00000e+00     58s
   194     -1.58830e+02     -6.37190e+01      8.00000e+00     59s
   199     -9.35300e+01     -6.37190e+01      8.00000e+00     61s
   202     -9.09140e+01     -6.37190e+01      8.00000e+00     62s
   205     -1.03404e+02     -6.37190e+01      8.00000e+00     63s
   210     -9.80460e+01     -6.37190e+01      8.00000e+00     64s
   214     -1.05110e+02     -6.37190e+01      8.00000e+00     65s
   217     -1.37168e+02     -6.37190e+01      8.00000e+00     66s
   221     -1.34017e+02     -6.37190e+01      8.00000e+00     67s
   226     -8.98570e+01     -6.37190e+01      8.00000e+00     69s
   230     -1.05080e+02     -6.37190e+01      8.00000e+00     70s
   233     -1.05209e+02     -6.37190e+01      8.00000e+00     71s
   237     -9.64180e+01     -6.37190e+01      8.00000e+00     72s
   242     -1.38990e+02     -6.37190e+01      8.00000e+00     73s
   246     -1.26930e+02     -6.37190e+01      8.00000e+00     75s
   250     -9.58280e+01     -6.37190e+01      8.00000e+00     76s
   254     -1.63165e+02     -6.37190e+01      8.00000e+00     77s
   258     -1.46838e+02     -6.37190e+01      8.00000e+00     78s
   262     -9.48430e+01     -6.37190e+01      8.00000e+00     79s
   265     -1.06286e+02     -6.37190e+01      8.00000e+00     81s
   269     -9.70940e+01     -6.37190e+01      8.00000e+00     82s
   273     -7.65090e+01     -6.37190e+01      8.00000e+00     83s
   278     -1.60723e+02     -6.37190e+01      8.00000e+00     84s
   281     -1.64930e+02     -6.37190e+01      8.00000e+00     85s
   285     -1.06335e+02     -6.37190e+01      8.00000e+00     86s
   289     -1.01958e+02     -6.37190e+01      8.00000e+00     88s
   294     -9.37240e+01     -6.37190e+01      8.00000e+00     89s
   298     -8.48200e+01     -6.37190e+01      8.00000e+00     90s
   301     -1.02128e+02     -6.37190e+01      8.00000e+00     91s
   305     -1.34347e+02     -6.37190e+01      8.00000e+00     93s
   309     -1.13422e+02     -6.37190e+01      8.00000e+00     94s
   313     -1.00765e+02     -6.37190e+01      8.00000e+00     95s
   317     -1.16881e+02     -6.37190e+01      8.00000e+00     96s
   320     -1.06371e+02     -6.37190e+01      8.00000e+00     97s
   324     -9.23640e+01     -6.37190e+01      8.00000e+00     98s
   329     -1.32698e+02     -6.37190e+01      8.00000e+00    100s
   334     -1.06484e+02     -6.37190e+01      8.00000e+00    101s
   338     -9.64580e+01     -6.37190e+01      8.00000e+00    102s
   342     -1.18525e+02     -6.37190e+01      8.00000e+00    103s
   345     -1.02884e+02     -6.37190e+01      8.00000e+00    104s
   350     -9.63600e+01     -6.37190e+01      8.00000e+00    106s
   354     -1.23071e+02     -6.37190e+01      8.00000e+00    107s
   358     -1.14178e+02     -6.37190e+01      8.00000e+00    108s
   361     -9.50130e+01     -6.37190e+01      8.00000e+00    109s
   364     -1.02724e+02     -6.37190e+01      8.00000e+00    110s
   369     -1.16809e+02     -6.37190e+01      8.00000e+00    111s
   373     -9.19570e+01     -6.37190e+01      8.00000e+00    112s
   376     -1.02380e+02     -6.37190e+01      8.00000e+00    114s
   380     -1.26625e+02     -6.37190e+01      8.00000e+00    115s
   385     -9.81680e+01     -6.37190e+01      8.00000e+00    116s
   389     -1.07435e+02     -6.37190e+01      8.00000e+00    117s
   392     -1.26111e+02     -6.37190e+01      8.00000e+00    118s
   395     -1.08959e+02     -6.37190e+01      8.00000e+00    119s
   399     -9.51380e+01     -6.37190e+01      8.00000e+00    120s
   404     -1.07703e+02     -6.37190e+01      8.00000e+00    121s
   407     -1.07730e+02     -6.37190e+01      8.00000e+00    123s
   410     -9.46860e+01     -6.37190e+01      8.00000e+00    124s
   414     -1.01665e+02     -6.37190e+01      8.00000e+00    125s
   420     -1.08125e+02     -6.37190e+01      8.00000e+00    126s
   424     -9.36910e+01     -6.37190e+01      8.00000e+00    127s
   427     -1.00909e+02     -6.37190e+01      8.00000e+00    128s
   431     -1.08025e+02     -6.37190e+01      8.00000e+00    130s
   436     -9.59950e+01     -6.37190e+01      8.00000e+00    131s
   440     -1.07050e+02     -6.37190e+01      8.00000e+00    132s
   443     -1.10971e+02     -6.37190e+01      8.00000e+00    133s
   446     -9.93900e+01     -6.37190e+01      8.00000e+00    134s
   450     -9.23860e+01     -6.37190e+01      8.00000e+00    135s
   455     -1.05280e+02     -6.37190e+01      8.00000e+00    136s
   459     -1.03643e+02     -6.37190e+01      8.00000e+00    138s
   462     -9.79420e+01     -6.37190e+01      8.00000e+00    139s
   466     -1.05423e+02     -6.37190e+01      8.00000e+00    140s
   471     -1.03426e+02     -6.37190e+01      8.00000e+00    141s
   474     -9.51700e+01     -6.37190e+01      8.00000e+00    142s
   478     -1.02646e+02     -6.37190e+01      8.00000e+00    143s
