==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              18
Number of partitions:         3

Density (%):                  86
Name of instance:             seed1_band_pen_new_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -8.45107e+00     -8.45107e+00      6.90000e+00      1s
     3     -8.15030e+00     -8.15030e+00      6.90000e+00      2s
     6     -8.45873e+00     -8.15030e+00      6.90000e+00      3s
    10     -8.77637e+00     -7.80647e+00      7.40000e+00      4s
    16     -8.36013e+00     -7.80647e+00      8.00000e+00      6s
    19     -8.51590e+00     -7.80647e+00      8.00000e+00      7s
    23     -8.06240e+00     -7.80647e+00      8.00000e+00      8s
    27     -8.62900e+00     -7.80647e+00      8.00000e+00     10s
    32     -8.33883e+00     -7.80647e+00      8.00000e+00     11s
    35     -8.55957e+00     -7.80647e+00      8.00000e+00     12s
    39     -8.63827e+00     -7.80647e+00      8.00000e+00     13s
    43     -8.31037e+00     -7.80647e+00      8.00000e+00     14s
    48     -8.52980e+00     -7.80647e+00      8.00000e+00     16s
    52     -4.31497e+00     -4.31497e+00      8.00000e+00     17s
    56     -5.09573e+00     -2.90053e+00      8.00000e+00     18s
    59     -8.55573e+00     -2.90053e+00      8.00000e+00     19s
    64     -8.98507e+00     -2.90053e+00      8.00000e+00     21s
    68     -1.44096e+01     -2.90053e+00      8.00000e+00     22s
    72     -1.46146e+01     -2.90053e+00      8.00000e+00     23s
    75     -6.99547e+00     -2.90053e+00      8.00000e+00     24s
    79     -3.52130e+00     -2.71410e+00      8.00000e+00     25s
    83     -8.43250e+00     -2.71410e+00      8.00000e+00     26s
    87     -8.61030e+00     -2.71410e+00      8.00000e+00     27s
    90     -1.04594e+01     -2.71410e+00      8.00000e+00     29s
    94     -1.65775e+01     -2.71410e+00      8.00000e+00     30s
    99     -8.79400e+00     -2.71410e+00      8.00000e+00     31s
   103     -1.29857e+00     -1.29857e+00      8.00000e+00     33s
   106     -5.19217e+00     -1.29857e+00      8.00000e+00     34s
   110     -9.35250e+00     -1.29857e+00      8.00000e+00     35s
   115     -1.20584e+01     -1.29857e+00      8.00000e+00     36s
   119     -2.30010e+01     -1.29857e+00      8.00000e+00     38s
   122     -1.88601e+01     -1.29857e+00      8.00000e+00     39s
   126     -3.31917e+00     -1.29857e+00      8.00000e+00     40s
   132     -7.79503e+00     -1.29857e+00      8.00000e+00     41s
   135     -9.24407e+00     -1.29857e+00      8.00000e+00     42s
   139     -1.05296e+01     -1.29857e+00      8.00000e+00     44s
   142     -1.98560e+01     -1.29857e+00      8.00000e+00     45s
   147     -1.71192e+01     -1.29857e+00      8.00000e+00     46s
   151     -5.01917e+00     -1.29857e+00      8.00000e+00     47s
   154     -2.77390e+00     -1.29857e+00      8.00000e+00     48s
   157     -7.55733e+00     -1.29857e+00      8.00000e+00     49s
   160     -8.95050e+00     -1.29857e+00      8.00000e+00     50s
   165     -1.29694e+01     -1.29857e+00      8.00000e+00     52s
   169     -2.46402e+01     -1.29857e+00      8.00000e+00     53s
   172     -1.92510e+01     -1.29857e+00      8.00000e+00     54s
   175     -6.36543e+00     -1.29857e+00      8.00000e+00     55s
   180     -5.20900e+00     -1.29857e+00      8.00000e+00     56s
   184     -9.00200e+00     -1.29857e+00      8.00000e+00     57s
   187     -8.84347e+00     -1.29857e+00      8.00000e+00     58s
