==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              25
Number of partitions:         4

Density (%):                  89
Name of instance:             seed1_band_pen_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           2.0
Gates Error Probability:      0.0
Naive Penalty Coef:           True
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -8.95400e+01     -8.95400e+01     -1.10000e+01     13s
     1     -9.07910e+01     -8.95400e+01     -9.00000e+00     26s
     2     -9.07360e+01     -8.95400e+01     -9.00000e+00     38s
     3     -8.81730e+01     -8.81730e+01     -3.00000e+00     51s
     4     -9.07030e+01     -8.81730e+01     -3.00000e+00     64s
     5     -8.78630e+01     -8.78630e+01     -3.00000e+00     77s
     6     -9.19830e+01     -8.78630e+01     -3.00000e+00     90s
     7     -8.95270e+01     -8.78630e+01     -3.00000e+00    103s
     8     -8.93280e+01     -8.78630e+01     -3.00000e+00    115s
     9     -8.82590e+01     -8.78630e+01     -3.00000e+00    127s
    10     -9.05080e+01     -8.78630e+01     -3.00000e+00    140s
    11     -8.85790e+01     -8.78630e+01      1.00000e+00    152s
    12     -9.09140e+01     -8.78630e+01      1.00000e+00    166s
    13     -8.99040e+01     -8.78630e+01      1.00000e+00    179s
    14     -8.96350e+01     -8.78630e+01      1.00000e+00    192s
    15     -8.84110e+01     -8.78630e+01      1.00000e+00    205s
    16     -8.73410e+01     -8.73410e+01      1.00000e+00    220s
    17     -8.96830e+01     -8.73410e+01      1.00000e+00    235s
    18     -8.95570e+01     -8.73410e+01      1.00000e+00    249s
    19     -9.01690e+01     -8.73410e+01      1.00000e+00    263s
    20     -8.96230e+01     -8.73410e+01      1.00000e+00    277s
    21     -9.23660e+01     -8.73410e+01      1.00000e+00    290s
    22     -8.91630e+01     -8.73410e+01      1.00000e+00    305s
