==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              25
Number of partitions:         4

Density (%):                  89
Name of instance:             seed1_band_pen_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           2.0
Gates Error Probability:      0.0
Naive Penalty Coef:           True
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.33028e+02     -1.33028e+02      4.00000e+00      1s
     3     -1.33735e+02     -1.33028e+02      4.00000e+00      3s
     6     -1.37657e+02     -1.32901e+02      4.00000e+00      4s
     9     -1.36672e+02     -1.32614e+02      4.00000e+00      6s
    12     -1.32428e+02     -1.32428e+02      7.00000e+00      7s
    15     -1.35041e+02     -1.32428e+02      7.00000e+00      9s
    17     -1.34304e+02     -1.32363e+02      7.00000e+00     10s
    20     -1.29330e+02     -1.29330e+02      7.00000e+00     12s
    23     -1.30917e+02     -1.29330e+02      7.00000e+00     13s
    26     -1.35269e+02     -1.29330e+02      7.00000e+00     15s
    29     -1.33175e+02     -1.29330e+02      7.00000e+00     16s
    31     -1.35542e+02     -1.29330e+02      7.00000e+00     17s
    33     -1.33070e+02     -1.29330e+02      7.00000e+00     18s
    36     -1.35595e+02     -1.29330e+02      7.00000e+00     20s
    39     -1.34394e+02     -1.29330e+02      7.00000e+00     22s
    42     -1.34385e+02     -1.29330e+02      7.00000e+00     23s
    44     -1.32100e+02     -1.29330e+02      7.00000e+00     24s
    47     -1.39262e+02     -1.28920e+02      7.00000e+00     26s
    49     -1.30886e+02     -1.28920e+02      7.00000e+00     27s
    51     -1.35968e+02     -1.28920e+02      7.00000e+00     28s
    54     -2.01837e+02     -1.28920e+02      7.00000e+00     29s
    56     -2.39272e+02     -1.28920e+02      7.00000e+00     30s
    58     -2.22461e+02     -1.28920e+02      7.00000e+00     31s
    60     -1.75182e+02     -1.28920e+02      7.00000e+00     33s
    62     -1.40607e+02     -1.28920e+02      7.00000e+00     34s
    64     -1.45189e+02     -1.28920e+02      7.00000e+00     35s
    67     -2.13308e+02     -1.28920e+02      7.00000e+00     37s
    70     -2.25818e+02     -1.28920e+02      7.00000e+00     38s
    73     -1.55035e+02     -1.28920e+02      7.00000e+00     40s
    76     -1.43241e+02     -1.28920e+02      7.00000e+00     41s
    79     -2.15087e+02     -1.28920e+02      7.00000e+00     43s
    82     -2.32950e+02     -1.28920e+02      7.00000e+00     44s
    84     -1.94987e+02     -1.28920e+02      7.00000e+00     45s
    86     -1.42171e+02     -1.28920e+02      7.00000e+00     46s
    88     -1.38823e+02     -1.28920e+02      7.00000e+00     47s
    90     -1.75649e+02     -1.28920e+02      7.00000e+00     49s
    93     -2.39933e+02     -1.28920e+02      7.00000e+00     50s
    96     -1.89389e+02     -1.28920e+02      7.00000e+00     51s
    98     -1.46732e+02     -1.28920e+02      7.00000e+00     53s
   101     -1.22998e+02     -1.22998e+02      7.00000e+00     54s
   104     -1.30587e+02     -1.18506e+02      7.00000e+00     56s
   106     -1.51375e+02     -1.18506e+02      7.00000e+00     57s
   108     -1.51371e+02     -1.18506e+02      7.00000e+00     58s
   110     -1.37875e+02     -1.18506e+02      7.00000e+00     59s
   112     -1.31293e+02     -1.18506e+02      7.00000e+00     60s
   115     -1.68890e+02     -1.18506e+02      7.00000e+00     62s
   117     -2.11041e+02     -1.18506e+02      7.00000e+00     63s
   119     -2.31993e+02     -1.18506e+02      7.00000e+00     64s
   121     -2.13981e+02     -1.18506e+02      7.00000e+00     65s
   124     -1.45855e+02     -1.18506e+02      7.00000e+00     66s
   127     -1.19518e+02     -1.18506e+02      7.00000e+00     68s
   129     -1.37243e+02     -1.18506e+02      7.00000e+00     69s
   131     -1.53677e+02     -1.18506e+02      7.00000e+00     70s
   133     -1.47855e+02     -1.18506e+02      7.00000e+00     71s
   136     -1.35209e+02     -1.18506e+02      7.00000e+00     73s
   139     -1.64131e+02     -1.18506e+02      7.00000e+00     74s
   142     -2.21171e+02     -1.18506e+02      7.00000e+00     76s
   144     -2.31779e+02     -1.18506e+02      7.00000e+00     77s
   146     -2.01177e+02     -1.18506e+02      7.00000e+00     78s
   148     -1.52252e+02     -1.18506e+02      7.00000e+00     79s
   150     -1.35671e+02     -1.18506e+02      7.00000e+00     80s
   153     -1.53247e+02     -1.18506e+02      7.00000e+00     82s
   156     -1.92613e+02     -1.18506e+02      7.00000e+00     83s
   158     -1.81713e+02     -1.18506e+02      7.00000e+00     84s
   160     -1.59965e+02     -1.18506e+02      7.00000e+00     86s
