==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              25
Number of partitions:         4

Density (%):                  89
Name of instance:             seed1_band_pen_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -2.34812e+01     -2.34812e+01      2.50000e-01      9s
     1     -2.35325e+01     -2.34812e+01      2.50000e-01     18s
     2     -2.38580e+01     -2.34812e+01      2.50000e+00     27s
     3     -2.38300e+01     -2.34812e+01      2.50000e+00     36s
     4     -2.28640e+01     -2.28640e+01      2.50000e+00     45s
     5     -2.36893e+01     -2.28640e+01      2.50000e+00     54s
     6     -2.32267e+01     -2.28640e+01      2.50000e+00     63s
     7     -2.30450e+01     -2.28640e+01      2.50000e+00     71s
     8     -2.37557e+01     -2.28640e+01      2.50000e+00     80s
     9     -2.37258e+01     -2.28640e+01      2.50000e+00     89s
    10     -2.34862e+01     -2.28640e+01      2.50000e+00     98s
    11     -2.39845e+01     -2.28640e+01      2.50000e+00    107s
    12     -2.38992e+01     -2.28640e+01      2.50000e+00    115s
    13     -2.42258e+01     -2.28640e+01      2.50000e+00    124s
    14     -2.30355e+01     -2.28640e+01      2.50000e+00    133s
    15     -2.37572e+01     -2.28640e+01      3.50000e+00    142s
    16     -2.36532e+01     -2.28640e+01      3.50000e+00    151s
    17     -2.40173e+01     -2.28640e+01      3.50000e+00    159s
    18     -2.33117e+01     -2.28640e+01      3.50000e+00    168s
    19     -2.28017e+01     -2.28017e+01      3.50000e+00    177s
    20     -2.34138e+01     -2.28017e+01      3.50000e+00    186s
    21     -2.39322e+01     -2.28017e+01      4.00000e+00    195s
    22     -2.32645e+01     -2.28017e+01      4.00000e+00    204s
    23     -2.35712e+01     -2.28017e+01      4.00000e+00    213s
    24     -2.34335e+01     -2.28017e+01      4.00000e+00    222s
    25     -2.42338e+01     -2.28017e+01      4.00000e+00    231s
    26     -2.33810e+01     -2.28017e+01      4.00000e+00    240s
    27     -2.32022e+01     -2.28017e+01      4.00000e+00    248s
    28     -2.32508e+01     -2.28017e+01      4.00000e+00    258s
    29     -2.38130e+01     -2.28017e+01      4.00000e+00    267s
    30     -2.34408e+01     -2.28017e+01      4.00000e+00    276s
    31     -2.34195e+01     -2.28017e+01      4.00000e+00    285s
    32     -2.43325e+01     -2.28017e+01      4.00000e+00    294s
    33     -2.38167e+01     -2.28017e+01      4.00000e+00    303s
    34     -2.32447e+01     -2.28017e+01      4.00000e+00    312s
    35     -2.36268e+01     -2.28017e+01      4.00000e+00    321s
    36     -2.33047e+01     -2.28017e+01      4.00000e+00    330s
    37     -2.33575e+01     -2.28017e+01      4.00000e+00    339s
    38     -2.36142e+01     -2.28017e+01      4.00000e+00    348s
    39     -2.30487e+01     -2.28017e+01      4.00000e+00    357s
    40     -2.38498e+01     -2.28017e+01      4.00000e+00    366s
    41     -2.34245e+01     -2.28017e+01      4.00000e+00    375s
    42     -2.38188e+01     -2.28017e+01      4.00000e+00    385s
    43     -2.35600e+01     -2.28017e+01      4.00000e+00    393s
    44     -2.37793e+01     -2.28017e+01      4.00000e+00    403s
    45     -2.34707e+01     -2.28017e+01      4.00000e+00    412s
    46     -2.31855e+01     -2.28017e+01      4.00000e+00    420s
    47     -2.35985e+01     -2.28017e+01      4.00000e+00    430s
    48     -2.34892e+01     -2.28017e+01      4.00000e+00    439s
    49     -2.35075e+01     -2.28017e+01      4.00000e+00    447s
    50     -2.33360e+01     -2.28017e+01      4.00000e+00    456s
    51     -1.61803e+01     -1.61803e+01      4.00000e+00    465s
    52     -1.02933e+01     -1.02933e+01      4.00000e+00    474s
    53     -7.62750e+00     -7.62750e+00      4.00000e+00    483s
    54     -7.94075e+00     -7.62750e+00      5.00000e+00    493s
    55     -1.02227e+01     -7.62750e+00      5.00000e+00    502s
    56     -1.33995e+01     -7.62750e+00      5.00000e+00    511s
    57     -1.72480e+01     -7.62750e+00      5.00000e+00    521s
    58     -1.99565e+01     -7.62750e+00      5.00000e+00    530s
    59     -2.22538e+01     -7.62750e+00      5.00000e+00    538s
    60     -2.30587e+01     -7.62750e+00      5.00000e+00    548s
    61     -2.26420e+01     -7.62750e+00      5.00000e+00    557s
    62     -2.35785e+01     -7.62750e+00      5.00000e+00    566s
    63     -2.41440e+01     -7.62750e+00      5.00000e+00    576s
    64     -2.72225e+01     -7.62750e+00      5.00000e+00    585s
    65     -3.27343e+01     -7.62750e+00      5.00000e+00    594s
    66     -3.77050e+01     -7.62750e+00      5.00000e+00    603s
    67     -4.38392e+01     -7.62750e+00      5.00000e+00    613s
    68     -4.97993e+01     -7.62750e+00      5.00000e+00    623s
    69     -5.33485e+01     -7.62750e+00      5.00000e+00    632s
    70     -5.31527e+01     -7.62750e+00      5.00000e+00    642s
    71     -5.04988e+01     -7.62750e+00      5.00000e+00    651s
    72     -4.50300e+01     -7.62750e+00      5.00000e+00    660s
    73     -3.62218e+01     -7.62750e+00      5.00000e+00    670s
    74     -2.83005e+01     -7.62750e+00      5.00000e+00    679s
    75     -1.92225e+01     -7.62750e+00      5.00000e+00    689s
    76     -1.31067e+01     -7.62750e+00      5.00000e+00    698s
    77     -8.69050e+00     -7.62750e+00      5.00000e+00    708s
    78     -7.84425e+00     -7.62750e+00      5.00000e+00    718s
    79     -8.72725e+00     -7.62750e+00      5.00000e+00    727s
    80     -1.18725e+01     -7.62750e+00      5.00000e+00    737s
    81     -1.51107e+01     -7.62750e+00      5.00000e+00    746s
    82     -1.88305e+01     -7.62750e+00      5.00000e+00    756s
    83     -2.15272e+01     -7.62750e+00      5.00000e+00    765s
    84     -2.19683e+01     -7.62750e+00      5.00000e+00    774s
    85     -2.28708e+01     -7.62750e+00      5.00000e+00    783s
    86     -2.32940e+01     -7.62750e+00      5.00000e+00    794s
    87     -2.46490e+01     -7.62750e+00      5.00000e+00    805s
    88     -2.58975e+01     -7.62750e+00      5.00000e+00    815s
    89     -3.00317e+01     -7.62750e+00      5.00000e+00    826s
    90     -3.52405e+01     -7.62750e+00      5.00000e+00    836s
    91     -4.13310e+01     -7.62750e+00      5.00000e+00    845s
    92     -4.63990e+01     -7.62750e+00      5.00000e+00    853s
    93     -5.13825e+01     -7.62750e+00      5.00000e+00    863s
    94     -5.34412e+01     -7.62750e+00      5.00000e+00    873s
    95     -5.18010e+01     -7.62750e+00      5.00000e+00    882s
    96     -4.77460e+01     -7.62750e+00      5.00000e+00    891s
    97     -4.11788e+01     -7.62750e+00      5.00000e+00    902s
    98     -3.23098e+01     -7.62750e+00      5.00000e+00    912s
    99     -2.31170e+01     -7.62750e+00      5.00000e+00    921s
   100     -2.39062e+01     -7.62750e+00      5.00000e+00    930s
   101     -1.44060e+01     -7.62750e+00      5.00000e+00    938s
   102     -9.35325e+00     -7.62750e+00      5.00000e+00    948s
   103     -7.30750e+00     -7.30750e+00      6.00000e+00    957s
   104     -8.36950e+00     -7.30750e+00      6.00000e+00    967s
   105     -1.17485e+01     -7.30750e+00      6.00000e+00    976s
   106     -1.57573e+01     -7.30750e+00      6.00000e+00    987s
   107     -1.90855e+01     -7.30750e+00      6.00000e+00    997s
   108     -2.07460e+01     -7.30750e+00      6.00000e+00   1007s
   109     -2.12810e+01     -7.30750e+00      6.00000e+00   1016s
   110     -2.18152e+01     -7.30750e+00      6.00000e+00   1025s
