==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              25
Number of partitions:         4

Density (%):                  89
Name of instance:             seed1_band_pen_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -3.32200e+01     -3.32200e+01      5.00000e+00      1s
     2     -3.32460e+01     -3.27120e+01      5.00000e+00      2s
     4     -3.38230e+01     -3.27120e+01      5.00000e+00      3s
     7     -3.37700e+01     -3.27120e+01      5.00000e+00      5s
    10     -3.25070e+01     -3.25070e+01      5.00000e+00      7s
    13     -3.18870e+01     -3.18870e+01      6.00000e+00      8s
    16     -3.39180e+01     -3.18870e+01      6.00000e+00     10s
    19     -3.35210e+01     -3.18870e+01      6.00000e+00     11s
    22     -3.28220e+01     -3.18870e+01      6.00000e+00     12s
    24     -3.37790e+01     -3.18870e+01      6.00000e+00     14s
    27     -3.23940e+01     -3.18870e+01      6.00000e+00     15s
    30     -3.19160e+01     -3.18870e+01      6.00000e+00     17s
    32     -3.38280e+01     -3.18870e+01      6.00000e+00     18s
    34     -3.29460e+01     -3.18870e+01      6.00000e+00     19s
    36     -3.34500e+01     -3.18870e+01      6.00000e+00     20s
    39     -3.33690e+01     -3.18870e+01      6.00000e+00     21s
    42     -3.29190e+01     -3.18870e+01      6.00000e+00     23s
    45     -3.31580e+01     -3.18870e+01      6.00000e+00     24s
    48     -3.42780e+01     -3.18870e+01      6.00000e+00     26s
    51     -2.01930e+01     -2.01930e+01      6.00000e+00     27s
    54     -6.60000e+00     -6.60000e+00      7.00000e+00     29s
    57     -1.66880e+01     -6.60000e+00      7.00000e+00     30s
    60     -2.41170e+01     -6.60000e+00      7.00000e+00     32s
    62     -3.23490e+01     -6.60000e+00      7.00000e+00     33s
