,,,,,,,,noise,,,w/o noise,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,feas,obj,,feas,obj,,,,
max3cut_numv8_seed1_rand_p0.8_neg0.0naive_noise_0.01_QUBO.txt,,,,,,,,1.57,13.25,,1.5,13.59,,,5,-3
max3cut_numv8_seed1_rand_p0.8_neg0.0tight_noise_0.01_QUBO.txt,,,,,,,,1.96,15.85,,2.02,15.81,,,-3,0
max3cut_numv8_seed1_rand_p0.8_neg0.4naive_noise_0.01_QUBO.txt,,,,,,,,16.99,4.87,,17.03,4.92,,,0,-1
max3cut_numv8_seed1_rand_p0.8_neg0.4tight_noise_0.01_QUBO.txt,,,,,,,,5.41,5.62,,5.34,5.53,,,1,2
max3cut_numv8_seed1_rand_p0.8_neg0.8naive_noise_0.01_QUBO.txt,,,,,,,,10.18,-8.46,,9.67,-8.57,,,5,-1
max3cut_numv8_seed1_rand_p0.8_neg0.8tight_noise_0.01_QUBO.txt,,,,,,,,3.29,-8.52,,3.27,-8.34,,,1,2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
max3cut_numv8_seed1_rand_p0.8_neg0.0_naive_R-QUBO.txt,,,,,,,,86.75,15.64,,94.79,15.62,,,-8,0
max3cut_numv8_seed1_rand_p0.8_neg0.0_tight_noise_0.01_R-QUBO.txt,,,,,,,,76.88,15.66,,76.83,15.93,,,0,-2
max3cut_numv8_seed1_rand_p0.8_neg0.4_naive_noise_0.01_R-QUBO.txt,,,,,,,,82.97,4.96,,91.59,4.94,,,-9,0
max3cut_numv8_seed1_rand_p0.8_neg0.4_tight_noise_0.01_R-QUBO.txt,,,,,,,,71.52,5.37,,75.83,5.49,,,-6,-2
max3cut_numv8_seed1_rand_p0.8_neg0.8_naive_noise_0.01_R-QUBO.txt,,,,,,,,75.5,-8.56,,82.79,-8.54,,,-9,0
max3cut_numv8_seed1_rand_p0.8_neg0.8_tight_noise_0.01_R-QUBO.txt,,,,,,,,54.11,-7.96,,57.75,-7.95,,,-6,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
max4cut_numv8_seed1_rand_p0.8_neg0.0_naive_noise_0.01_R-QUBO.txt,,,,,,,,22.28,16.61,,32.38,17.31,,,-31,-4
max4cut_numv8_seed1_rand_p0.8_neg0.0_tight_noise_0.01_R-QUBO.txt,,,,,,,,43.92,16.97,,44.85,17.21,,,-2,-1
max4cut_numv8_seed1_rand_p0.8_neg0.4_naive_noise_0.01_R-QUBO.txt,,,,,,,,8,3.4,,12.8,4.11,,,-38,-17
max4cut_numv8_seed1_rand_p0.8_neg0.4_tight_noise_0.01_R-QUBO.txt,,,,,,,,47.91,5.53,,56.7,5.62,,,-16,-2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-11,-3
,,,,,,,,,,,,,,,-4,0
