==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           23
Number of edges:              63
Number of partitions:         2

Density (%):                  25
Name of instance:             seed1_band
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      2.51600e+00      2.51600e+00      1.50000e+01      1s
     2      2.61500e+00      2.61500e+00      2.00000e+01      3s
     4      2.06900e+00      2.61500e+00      2.00000e+01      4s
     6      2.53100e+00      2.61500e+00      2.00000e+01      6s
     8      2.47000e+00      2.61500e+00      2.00000e+01      7s
    10      2.73300e+00      2.73300e+00      2.00000e+01      8s
    12      2.44800e+00      2.73300e+00      2.00000e+01     10s
    14      2.38900e+00      2.73300e+00      2.00000e+01     11s
    16      2.53800e+00      2.73300e+00      2.00000e+01     13s
    18      2.36000e+00      2.73300e+00      2.00000e+01     14s
    20      2.34000e+00      2.73300e+00      2.00000e+01     15s
    22      2.57100e+00      2.73300e+00      2.00000e+01     17s
    24      2.59600e+00      2.73300e+00      2.00000e+01     18s
    26      2.51100e+00      2.73300e+00      2.00000e+01     19s
    28      2.45700e+00      2.73300e+00      2.00000e+01     20s
    30      2.35900e+00      2.73300e+00      2.00000e+01     22s
    32      2.54700e+00      2.73300e+00      2.00000e+01     23s
    34      2.35300e+00      2.73300e+00      2.00000e+01     24s
    36      2.41700e+00      2.73300e+00      2.00000e+01     26s
    38      2.54300e+00      2.73300e+00      2.00000e+01     27s
    40      2.33200e+00      2.73300e+00      2.00000e+01     29s
    42      2.51400e+00      2.73300e+00      2.00000e+01     30s
    44      2.35100e+00      2.73300e+00      2.00000e+01     31s
    46      2.52700e+00      2.73300e+00      2.00000e+01     33s
    48      2.43700e+00      2.73300e+00      2.00000e+01     34s
    50      2.50100e+00      2.73300e+00      2.00000e+01     35s
    52      1.83500e+00      2.73300e+00      2.00000e+01     37s
