==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           23
Number of edges:              63
Number of partitions:         2

Density (%):                  25
Name of instance:             seed1_band_fold
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     1      5.05600e+00      5.11300e+00      2.00000e+01      1s
     5      4.97000e+00      5.11300e+00      2.00000e+01      2s
     9      4.88400e+00      5.24800e+00      2.00000e+01      3s
    13      5.25000e+00      5.25000e+00      2.00000e+01      4s
    17      4.81300e+00      5.25000e+00      2.20000e+01      6s
    21      4.87000e+00      5.25000e+00      2.20000e+01      7s
    25      4.89600e+00      5.25000e+00      2.20000e+01      8s
    29      5.10500e+00      5.28200e+00      2.20000e+01      9s
    33      5.10200e+00      5.34500e+00      2.20000e+01     10s
    37      5.13600e+00      5.34500e+00      2.20000e+01     11s
    41      5.17300e+00      5.34500e+00      2.20000e+01     12s
    45      5.03600e+00      5.34500e+00      2.20000e+01     13s
    49      4.74000e+00      5.34500e+00      2.20000e+01     14s
    53      6.76700e+00      6.76700e+00      2.20000e+01     15s
    57      4.51300e+00      6.78000e+00      2.20000e+01     16s
    61      3.71200e+00      6.78000e+00      2.20000e+01     18s
    65      6.82500e+00      6.82500e+00      2.20000e+01     19s
    69      4.60300e+00      6.86000e+00      2.20000e+01     20s
    73      3.71700e+00      6.86000e+00      2.20000e+01     21s
    77      6.63200e+00      6.86000e+00      2.20000e+01     22s
    81      5.04900e+00      6.86000e+00      2.20000e+01     23s
    85      3.78500e+00      6.86000e+00      2.20000e+01     24s
    89      6.76800e+00      6.86000e+00      2.20000e+01     25s
    93      4.98300e+00      7.07100e+00      2.20000e+01     26s
    97      3.68400e+00      7.07100e+00      2.20000e+01     27s
   101      6.07100e+00      7.07100e+00      2.20000e+01     29s
   105      7.13700e+00      8.03300e+00      2.20000e+01     30s
   109      2.75800e+00      8.03300e+00      2.20000e+01     31s
   113      6.06400e+00      8.03300e+00      2.20000e+01     32s
   117      7.43400e+00      8.05200e+00      2.20000e+01     33s
   121      2.80600e+00      8.05200e+00      2.20000e+01     34s
   125      5.84100e+00      8.05200e+00      2.20000e+01     35s
   129      7.88500e+00      8.05200e+00      2.20000e+01     36s
   133      3.10200e+00      8.05200e+00      2.20000e+01     37s
   137      5.64100e+00      8.05200e+00      2.20000e+01     38s
   141      7.76300e+00      8.16800e+00      2.20000e+01     39s
   145      3.12900e+00      8.16800e+00      2.20000e+01     40s
   149      4.95800e+00      8.16800e+00      2.20000e+01     42s
   153      8.57700e+00      8.57700e+00      2.20000e+01     43s
   157      4.79700e+00      8.57700e+00      2.20000e+01     44s
   161      3.19200e+00      8.57700e+00      2.20000e+01     45s
   165      8.47500e+00      8.57700e+00      2.20000e+01     46s
   169      4.88300e+00      8.64100e+00      2.20000e+01     47s
   173      2.94000e+00      8.64100e+00      2.20000e+01     48s
   177      8.14900e+00      8.64100e+00      2.20000e+01     49s
   181      5.31900e+00      8.64100e+00      2.20000e+01     50s
   185      2.93300e+00      8.64100e+00      2.20000e+01     52s
   189      8.11100e+00      8.64100e+00      2.20000e+01     53s
   193      5.83900e+00      8.64100e+00      2.20000e+01     54s
   197      2.74700e+00      8.64100e+00      2.20000e+01     55s
   201      6.09200e+00      8.64100e+00      2.20000e+01     56s
   205      7.23800e+00      8.64100e+00      2.20000e+01     57s
   209      2.80100e+00      8.64100e+00      2.20000e+01     58s
   213      6.09600e+00      8.64100e+00      2.20000e+01     59s
   217      7.44800e+00      8.64100e+00      2.20000e+01     60s
   221      3.14600e+00      8.64100e+00      2.20000e+01     62s
   225      5.69100e+00      8.64100e+00      2.20000e+01     63s
   229      7.66500e+00      8.64100e+00      2.20000e+01     64s
   233      3.59800e+00      8.64100e+00      2.20000e+01     65s
   237      5.53500e+00      8.64100e+00      2.20000e+01     66s
   241      7.55200e+00      8.64100e+00      2.20000e+01     67s
   245      3.45200e+00      8.64100e+00      2.20000e+01     68s
   249      4.76100e+00      8.64100e+00      2.20000e+01     69s
   253      7.05200e+00      8.64100e+00      2.20000e+01     70s
   257      4.85100e+00      8.64100e+00      2.20000e+01     72s
   261      4.25300e+00      8.64100e+00      2.20000e+01     73s
   265      6.90900e+00      8.64100e+00      2.20000e+01     74s
   269      5.17700e+00      8.64100e+00      2.20000e+01     75s
   273      4.01500e+00      8.64100e+00      2.20000e+01     76s
   277      6.89100e+00      8.64100e+00      2.20000e+01     77s
   281      5.18300e+00      8.64100e+00      2.20000e+01     78s
   285      3.57900e+00      8.64100e+00      2.20000e+01     79s
   289      6.68900e+00      8.64100e+00      2.20000e+01     80s
   293      5.44200e+00      8.64100e+00      2.20000e+01     81s
   297      3.57600e+00      8.64100e+00      2.20000e+01     82s
   301      5.63600e+00      8.64100e+00      2.20000e+01     83s
   305      5.71500e+00      8.64100e+00      2.20000e+01     85s
   309      4.09600e+00      8.64100e+00      2.20000e+01     86s
   313      5.29700e+00      8.64100e+00      2.20000e+01     87s
   317      6.06600e+00      8.64100e+00      2.20000e+01     88s
   321      3.94600e+00      8.64100e+00      2.20000e+01     89s
   325      5.69400e+00      8.64100e+00      2.20000e+01     90s
   329      6.03500e+00      8.64100e+00      2.20000e+01     91s
   333      3.97400e+00      8.64100e+00      2.20000e+01     92s
   337      4.91500e+00      8.64100e+00      2.20000e+01     93s
   341      6.12100e+00      8.64100e+00      2.20000e+01     94s
   345      3.98300e+00      8.64100e+00      2.20000e+01     95s
   349      4.85000e+00      8.64100e+00      2.20000e+01     97s
   353      5.49700e+00      8.64100e+00      2.20000e+01     98s
   357      4.65900e+00      8.64100e+00      2.20000e+01     99s
   361      4.74000e+00      8.64100e+00      2.20000e+01    100s
   365      5.43000e+00      8.64100e+00      2.20000e+01    101s
   369      4.55200e+00      8.64100e+00      2.20000e+01    102s
   373      4.56500e+00      8.64100e+00      2.20000e+01    103s
   377      5.36100e+00      8.64100e+00      2.20000e+01    104s
   381      4.80500e+00      8.64100e+00      2.20000e+01    105s
   385      4.63400e+00      8.64100e+00      2.20000e+01    106s
   389      5.67700e+00      8.64100e+00      2.20000e+01    107s
   393      5.17200e+00      8.64100e+00      2.20000e+01    109s
   397      4.50500e+00      8.64100e+00      2.20000e+01    110s
   401      5.25300e+00      8.64100e+00      2.20000e+01    111s
   405      4.95000e+00      8.64100e+00      2.20000e+01    112s
   409      4.71000e+00      8.64100e+00      2.20000e+01    113s
   413      5.23200e+00      8.64100e+00      2.20000e+01    114s
   417      4.99000e+00      8.64100e+00      2.20000e+01    115s
   421      4.72900e+00      8.64100e+00      2.20000e+01    116s
   425      5.09500e+00      8.64100e+00      2.20000e+01    117s
   429      5.02500e+00      8.64100e+00      2.20000e+01    119s
   433      4.43000e+00      8.64100e+00      2.20000e+01    120s
   437      4.81800e+00      8.64100e+00      2.20000e+01    121s
   441      5.24700e+00      8.64100e+00      2.20000e+01    122s
   445      4.61900e+00      8.64100e+00      2.20000e+01    123s
   449      4.92900e+00      8.64100e+00      2.20000e+01    124s
   453      5.05800e+00      8.64100e+00      2.20000e+01    125s
   457      4.78400e+00      8.64100e+00      2.20000e+01    127s
   461      4.82300e+00      8.64100e+00      2.20000e+01    128s
   465      5.05300e+00      8.64100e+00      2.20000e+01    129s
   469      4.79700e+00      8.64100e+00      2.20000e+01    130s
   473      4.98600e+00      8.64100e+00      2.20000e+01    131s
   477      5.28100e+00      8.64100e+00      2.20000e+01    132s
   481      4.80000e+00      8.64100e+00      2.20000e+01    133s
   485      5.21700e+00      8.64100e+00      2.20000e+01    134s
   489      4.91200e+00      8.64100e+00      2.20000e+01    135s
   493      5.12300e+00      8.64100e+00      2.20000e+01    137s
   497      4.92000e+00      8.64100e+00      2.20000e+01    138s
   501      5.02900e+00      8.64100e+00      2.20000e+01    139s
   505      4.90500e+00      8.64100e+00      2.20000e+01    140s
   509      4.63100e+00      8.64100e+00      2.20000e+01    141s
   513      5.27300e+00      8.64100e+00      2.20000e+01    142s
   517      5.25000e+00      8.64100e+00      2.20000e+01    143s
   521      4.93600e+00      8.64100e+00      2.20000e+01    145s
   525      5.13700e+00      8.64100e+00      2.20000e+01    146s
   529      5.21400e+00      8.64100e+00      2.20000e+01    147s
   533      4.78700e+00      8.64100e+00      2.20000e+01    148s
   537      4.92600e+00      8.64100e+00      2.20000e+01    149s
   541      4.98500e+00      8.64100e+00      2.20000e+01    150s
   545      5.25400e+00      8.64100e+00      2.20000e+01    151s
   549      5.06200e+00      8.64100e+00      2.20000e+01    152s
   553      5.56400e+00      8.64100e+00      2.20000e+01    154s
   557      4.46200e+00      8.64100e+00      2.20000e+01    155s
   561      5.00600e+00      8.64100e+00      2.20000e+01    156s
   565      5.20800e+00      8.64100e+00      2.20000e+01    157s
   569      4.85300e+00      8.64100e+00      2.20000e+01    158s
   573      4.56600e+00      8.64100e+00      2.20000e+01    159s
   577      5.41000e+00      8.64100e+00      2.20000e+01    160s
   581      4.97200e+00      8.64100e+00      2.20000e+01    161s
   585      4.84600e+00      8.64100e+00      2.20000e+01    162s
   589      5.00800e+00      8.64100e+00      2.20000e+01    163s
   593      4.84700e+00      8.64100e+00      2.20000e+01    164s
   597      4.81100e+00      8.64100e+00      2.20000e+01    166s
   601      5.26900e+00      8.64100e+00      2.20000e+01    167s
   605      5.29300e+00      8.64100e+00      2.20000e+01    168s
   609      4.27800e+00      8.64100e+00      2.20000e+01    169s
   613      4.93000e+00      8.64100e+00      2.20000e+01    170s
   617      5.10700e+00      8.64100e+00      2.20000e+01    171s
   621      4.61100e+00      8.64100e+00      2.20000e+01    172s
   625      4.91900e+00      8.64100e+00      2.20000e+01    173s
   629      5.42700e+00      8.64100e+00      2.20000e+01    174s
   633      4.61700e+00      8.64100e+00      2.20000e+01    175s
   637      4.88200e+00      8.64100e+00      2.20000e+01    176s
   641      5.30200e+00      8.64100e+00      2.20000e+01    178s
   645      4.74800e+00      8.64100e+00      2.20000e+01    179s
   649      5.02900e+00      8.64100e+00      2.20000e+01    180s
   653      5.61400e+00      8.64100e+00      2.20000e+01    181s
   657      4.76500e+00      8.64100e+00      2.20000e+01    182s
   661      4.81000e+00      8.64100e+00      2.20000e+01    183s
   665      5.67400e+00      8.64100e+00      2.20000e+01    184s
   669      4.86400e+00      8.64100e+00      2.20000e+01    185s
   673      4.65200e+00      8.64100e+00      2.20000e+01    186s
   677      5.74400e+00      8.64100e+00      2.20000e+01    187s
   681      5.05000e+00      8.64100e+00      2.20000e+01    188s
   685      4.69800e+00      8.64100e+00      2.20000e+01    190s
   689      5.63800e+00      8.64100e+00      2.20000e+01    191s
   693      5.17100e+00      8.64100e+00      2.20000e+01    192s
   697      4.61300e+00      8.64100e+00      2.20000e+01    193s
   701      5.26000e+00      8.64100e+00      2.20000e+01    194s
   705      5.30800e+00      8.64100e+00      2.20000e+01    195s
   709      4.49500e+00      8.64100e+00      2.20000e+01    196s
   713      5.19700e+00      8.64100e+00      2.20000e+01    197s
   717      5.57600e+00      8.64100e+00      2.20000e+01    198s
   721      4.52500e+00      8.64100e+00      2.20000e+01    199s
   725      5.26100e+00      8.64100e+00      2.20000e+01    200s
   729      5.52100e+00      8.64100e+00      2.20000e+01    202s
   733      4.27400e+00      8.64100e+00      2.20000e+01    203s
   737      4.96000e+00      8.64100e+00      2.20000e+01    204s
   741      5.50100e+00      8.64100e+00      2.20000e+01    205s
   745      4.84500e+00      8.64100e+00      2.20000e+01    206s
   749      5.03900e+00      8.64100e+00      2.20000e+01    207s
   753      5.49400e+00      8.64100e+00      2.20000e+01    208s
   757      5.05800e+00      8.64100e+00      2.20000e+01    209s
   761      4.73700e+00      8.64100e+00      2.20000e+01    210s
   765      5.45200e+00      8.64100e+00      2.20000e+01    211s
   769      5.12600e+00      8.64100e+00      2.20000e+01    212s
   773      4.81500e+00      8.64100e+00      2.20000e+01    214s
   777      5.52800e+00      8.64100e+00      2.20000e+01    215s
   781      4.95200e+00      8.64100e+00      2.20000e+01    216s
   785      4.64700e+00      8.64100e+00      2.20000e+01    217s
   789      5.66400e+00      8.64100e+00      2.20000e+01    218s
   793      5.10700e+00      8.64100e+00      2.20000e+01    219s
   797      4.65700e+00      8.64100e+00      2.20000e+01    220s
   801      5.34200e+00      8.64100e+00      2.20000e+01    221s
   805      5.50600e+00      8.64100e+00      2.20000e+01    222s
   809      4.87200e+00      8.64100e+00      2.20000e+01    223s
   813      5.30000e+00      8.64100e+00      2.20000e+01    225s
   817      5.56500e+00      8.64100e+00      2.20000e+01    226s
   821      4.97100e+00      8.64100e+00      2.20000e+01    227s
   825      5.06000e+00      8.64100e+00      2.20000e+01    228s
   829      5.49100e+00      8.64100e+00      2.20000e+01    229s
   833      4.90100e+00      8.64100e+00      2.20000e+01    230s
   837      5.01600e+00      8.64100e+00      2.20000e+01    231s
   841      5.61500e+00      8.64100e+00      2.20000e+01    232s
   845      4.93200e+00      8.64100e+00      2.20000e+01    233s
   849      5.03400e+00      8.64100e+00      2.20000e+01    234s
   853      5.45100e+00      8.64100e+00      2.20000e+01    236s
   857      4.94500e+00      8.64100e+00      2.20000e+01    237s
   861      5.11300e+00      8.64100e+00      2.20000e+01    238s
