==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           5
Number of edges:              9
Number of partitions:         2

Density (%):                  90
Name of instance:             seed1_band_pen_1.0
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     5     -4.00000e-01     -4.00000e-01      6.00000e+00      1s
    23     -5.11000e-01     -4.00000e-01      6.00000e+00      2s
    42     -3.04500e-01     -3.04500e-01      6.00000e+00      3s
    59     -6.73000e-01      5.71500e-01      6.00000e+00      4s
    76      2.97000e-01      5.71500e-01      6.00000e+00      5s
    92     -1.00650e+00      6.22500e-01      6.00000e+00      6s
   109     -9.42000e-01      1.39100e+00      6.00000e+00      7s
   126      6.25000e-01      1.39100e+00      6.00000e+00      8s
   143     -1.90750e+00      1.41400e+00      6.00000e+00      9s
   160     -1.41350e+00      1.81200e+00      6.00000e+00     10s
   177      1.69750e+00      1.81200e+00      6.00000e+00     11s
   194     -3.43850e+00      1.81200e+00      6.00000e+00     12s
   211     -9.91500e-01      2.01400e+00      6.00000e+00     13s
   229      1.63500e+00      2.01400e+00      6.00000e+00     14s
   247     -2.90200e+00      2.01400e+00      6.00000e+00     15s
   264     -7.45000e-02      2.01400e+00      6.00000e+00     16s
   282     -1.08050e+00      2.01400e+00      6.00000e+00     17s
   299     -4.47000e-01      2.01400e+00      6.00000e+00     19s
   316     -7.01500e-01      2.01400e+00      6.00000e+00     20s
   334     -1.62300e+00      2.01400e+00      6.00000e+00     21s
   354      2.91500e-01      2.01400e+00      6.00000e+00     22s
   375     -1.35500e-01      2.01400e+00      6.00000e+00     23s
   395     -2.60050e+00      2.01400e+00      6.00000e+00     24s
   416     -5.00000e-01      2.01400e+00      6.00000e+00     25s
   437     -3.58500e-01      2.01400e+00      6.00000e+00     26s
   457     -1.68350e+00      2.01400e+00      6.00000e+00     27s
   476     -3.94500e-01      2.01400e+00      6.00000e+00     28s
   493     -8.76000e-01      2.01400e+00      6.00000e+00     29s
   510     -1.13550e+00      2.01400e+00      6.00000e+00     30s
   527     -9.35000e-01      2.01400e+00      6.00000e+00     31s
   544     -2.82500e-01      2.01400e+00      6.00000e+00     32s
   561     -7.03000e-01      2.01400e+00      6.00000e+00     33s
   576     -9.10500e-01      2.01400e+00      6.00000e+00     34s
   593     -5.30000e-02      2.01400e+00      6.00000e+00     35s
   609     -1.42150e+00      2.01400e+00      6.00000e+00     36s
   626     -8.08000e-01      2.01400e+00      6.00000e+00     37s
   642     -1.79000e-01      2.01400e+00      6.00000e+00     38s
   659     -1.04050e+00      2.01400e+00      6.00000e+00     39s
   679     -1.32700e+00      2.01400e+00      6.00000e+00     40s
   699     -3.83000e-01      2.01400e+00      6.00000e+00     41s
   717      1.00000e-03      2.01400e+00      6.00000e+00     42s
   738     -3.00500e-01      2.01400e+00      6.00000e+00     43s
   758     -7.94000e-01      2.01400e+00      6.00000e+00     44s
   777     -5.95500e-01      2.01400e+00      6.00000e+00     45s
   794     -2.21000e-01      2.01400e+00      6.00000e+00     46s
   811     -6.80500e-01      2.01400e+00      6.00000e+00     47s
   827     -5.89500e-01      2.01400e+00      6.00000e+00     48s
   844     -5.00500e-01      2.01400e+00      6.00000e+00     49s
   861     -5.93000e-01      2.01400e+00      6.00000e+00     50s
   878     -7.46500e-01      2.01400e+00      6.00000e+00     51s
   895     -6.61500e-01      2.01400e+00      6.00000e+00     52s
   911     -7.00000e-01      2.01400e+00      6.00000e+00     54s
   927     -6.17000e-01      2.01400e+00      6.00000e+00     55s
   943     -8.97000e-01      2.01400e+00      6.00000e+00     56s
   959     -7.34000e-01      2.01400e+00      6.00000e+00     57s
   975     -5.71000e-01      2.01400e+00      6.00000e+00     58s
   991     -8.83500e-01      2.01400e+00      6.00000e+00     59s
  1007     -1.06500e+00      2.01400e+00      6.00000e+00     60s
  1023     -5.99000e-01      2.01400e+00      6.00000e+00     61s
  1039     -7.43500e-01      2.01400e+00      6.00000e+00     62s
  1055     -9.67000e-01      2.01400e+00      6.00000e+00     63s
  1071     -7.37000e-01      2.01400e+00      6.00000e+00     64s
  1087     -5.60000e-01      2.01400e+00      6.00000e+00     65s
  1104     -4.78000e-01      2.01400e+00      6.00000e+00     66s
  1122     -5.89500e-01      2.01400e+00      6.00000e+00     67s
  1137     -4.23500e-01      2.01400e+00      6.00000e+00     68s
  1153     -5.26000e-01      2.01400e+00      6.00000e+00     69s
  1170     -6.22500e-01      2.01400e+00      6.00000e+00     70s
  1186     -6.08000e-01      2.01400e+00      6.00000e+00     71s
  1202     -5.14000e-01      2.01400e+00      6.00000e+00     72s
  1219     -5.04500e-01      2.01400e+00      6.00000e+00     73s
  1235     -5.42500e-01      2.01400e+00      6.00000e+00     74s
