==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              14
Number of partitions:         3

Density (%):                  93
Name of instance:             seed1_band_pen1.2
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     3     -4.93920e+00     -4.93920e+00      7.00000e+00      1s
    12     -5.22700e+00     -4.81640e+00      7.00000e+00      2s
    21     -5.26660e+00     -4.81640e+00      7.00000e+00      3s
    29     -5.06080e+00     -4.70900e+00      7.00000e+00      4s
    38     -5.57480e+00     -4.70900e+00      7.00000e+00      5s
    46     -4.84660e+00     -4.70900e+00      7.00000e+00      6s
    55      6.30800e-01      1.17820e+00      7.00000e+00      7s
    65     -8.34060e+00      1.17820e+00      7.00000e+00      8s
    75     -3.77280e+00      1.17820e+00      7.00000e+00     10s
    84     -4.16980e+00      1.17820e+00      7.00000e+00     11s
    94     -1.52600e+01      1.17820e+00      7.00000e+00     12s
   103      7.94800e-01      1.17820e+00      7.00000e+00     13s
   113     -5.90760e+00      1.17820e+00      7.00000e+00     14s
   124     -6.80660e+00      1.17820e+00      7.00000e+00     15s
   135     -4.29000e+00      1.17820e+00      7.00000e+00     16s
   145     -1.83512e+01      1.17820e+00      7.00000e+00     17s
   154     -3.12280e+00      1.17820e+00      7.00000e+00     18s
   162     -5.26740e+00      1.17820e+00      7.00000e+00     19s
   171     -1.22676e+01      1.17820e+00      7.00000e+00     20s
   180     -4.11420e+00      1.17820e+00      7.00000e+00     21s
   190     -9.93600e+00      1.17820e+00      7.00000e+00     22s
   200     -5.16360e+00      1.17820e+00      7.00000e+00     23s
   210     -4.35520e+00      1.17820e+00      7.00000e+00     24s
   220     -8.28960e+00      1.17820e+00      7.00000e+00     25s
   230     -7.26880e+00      1.17820e+00      7.00000e+00     26s
   238     -6.23600e+00      1.17820e+00      7.00000e+00     27s
   248     -5.49980e+00      1.17820e+00      7.00000e+00     29s
   256     -7.92800e+00      1.17820e+00      7.00000e+00     30s
   264     -5.69600e+00      1.17820e+00      7.00000e+00     31s
   274     -4.83280e+00      1.17820e+00      7.00000e+00     32s
   284     -5.56280e+00      1.17820e+00      7.00000e+00     33s
   293     -6.37960e+00      1.17820e+00      7.00000e+00     34s
   302     -6.08020e+00      1.17820e+00      7.00000e+00     35s
   311     -5.41280e+00      1.17820e+00      7.00000e+00     36s
   320     -5.62760e+00      1.17820e+00      7.00000e+00     37s
   329     -6.67020e+00      1.17820e+00      7.00000e+00     38s
   338     -5.30360e+00      1.17820e+00      7.00000e+00     39s
   348     -4.94460e+00      1.17820e+00      7.00000e+00     40s
   357     -6.03500e+00      1.17820e+00      7.00000e+00     41s
   365     -5.45700e+00      1.17820e+00      7.00000e+00     42s
   374     -5.43540e+00      1.17820e+00      7.00000e+00     43s
   383     -5.75100e+00      1.17820e+00      7.00000e+00     44s
   391     -6.41580e+00      1.17820e+00      7.00000e+00     45s
   400     -5.25180e+00      1.17820e+00      7.00000e+00     46s
   409     -5.95560e+00      1.17820e+00      7.00000e+00     47s
   418     -6.10840e+00      1.17820e+00      7.00000e+00     48s
   427     -4.89060e+00      1.17820e+00      7.00000e+00     49s
   436     -4.93720e+00      1.17820e+00      7.00000e+00     50s
   445     -6.22240e+00      1.17820e+00      7.00000e+00     52s
   453     -5.74740e+00      1.17820e+00      7.00000e+00     53s
   461     -5.58540e+00      1.17820e+00      7.00000e+00     54s
   470     -5.91900e+00      1.17820e+00      7.00000e+00     55s
   479     -5.67700e+00      1.17820e+00      7.00000e+00     56s
   488     -4.88220e+00      1.17820e+00      7.00000e+00     57s
   497     -5.05700e+00      1.17820e+00      7.00000e+00     58s
   506     -5.69780e+00      1.17820e+00      7.00000e+00     59s
   515     -5.28200e+00      1.17820e+00      7.00000e+00     60s
   524     -4.92580e+00      1.17820e+00      7.00000e+00     61s
   533     -5.50980e+00      1.17820e+00      7.00000e+00     62s
   541     -5.78840e+00      1.17820e+00      7.00000e+00     63s
   550     -4.93740e+00      1.17820e+00      7.00000e+00     64s
   559     -5.40360e+00      1.17820e+00      7.00000e+00     65s
   568     -5.40420e+00      1.17820e+00      7.00000e+00     66s
   577     -5.00440e+00      1.17820e+00      7.00000e+00     67s
   586     -5.13060e+00      1.17820e+00      7.00000e+00     68s
   595     -5.85060e+00      1.17820e+00      7.00000e+00     69s
   603     -5.04960e+00      1.17820e+00      7.00000e+00     70s
   612     -5.50600e+00      1.17820e+00      7.00000e+00     72s
   620     -5.29560e+00      1.17820e+00      7.00000e+00     73s
   629     -5.13020e+00      1.17820e+00      7.00000e+00     74s
   638     -5.26320e+00      1.17820e+00      7.00000e+00     75s
   646     -4.98660e+00      1.17820e+00      7.00000e+00     76s
   655     -5.10620e+00      1.17820e+00      7.00000e+00     77s
   664     -4.99680e+00      1.17820e+00      7.00000e+00     78s
   673     -5.11060e+00      1.17820e+00      7.00000e+00     79s
   682     -5.47080e+00      1.17820e+00      7.00000e+00     80s
   691     -4.67960e+00      1.17820e+00      7.00000e+00     81s
   700     -5.17060e+00      1.17820e+00      7.00000e+00     82s
   708     -6.17980e+00      1.17820e+00      7.00000e+00     83s
   717     -6.19160e+00      1.17820e+00      7.00000e+00     84s
   725     -5.23260e+00      1.17820e+00      7.00000e+00     85s
   734     -5.83760e+00      1.17820e+00      7.00000e+00     86s
   743     -6.40080e+00      1.17820e+00      7.00000e+00     88s
   752     -5.47440e+00      1.17820e+00      7.00000e+00     89s
   760     -5.67520e+00      1.17820e+00      7.00000e+00     90s
   769     -6.12660e+00      1.17820e+00      7.00000e+00     91s
   778     -5.76020e+00      1.17820e+00      7.00000e+00     92s
   787     -5.28560e+00      1.17820e+00      7.00000e+00     93s
   796     -5.62540e+00      1.17820e+00      7.00000e+00     94s
   804     -4.61760e+00      1.17820e+00      7.00000e+00     95s
   813     -5.25580e+00      1.17820e+00      7.00000e+00     96s
   822     -5.05460e+00      1.17820e+00      7.00000e+00     97s
   831     -4.62240e+00      1.17820e+00      7.00000e+00     98s
   840     -4.75460e+00      1.17820e+00      7.00000e+00     99s
   849     -5.66220e+00      1.17820e+00      7.00000e+00    100s
   858     -4.51580e+00      1.17820e+00      7.00000e+00    101s
   867     -4.24540e+00      1.17820e+00      7.00000e+00    102s
   876     -5.54300e+00      1.17820e+00      7.00000e+00    103s
   885     -4.99840e+00      1.17820e+00      7.00000e+00    104s
   894     -4.20300e+00      1.17820e+00      7.00000e+00    106s
   903     -5.07100e+00      1.17820e+00      7.00000e+00    107s
   912     -5.69480e+00      1.17820e+00      7.00000e+00    108s
   921     -4.75180e+00      1.17820e+00      7.00000e+00    109s
   930     -5.19340e+00      1.17820e+00      7.00000e+00    110s
   939     -5.11480e+00      1.17820e+00      7.00000e+00    111s
   949     -4.94020e+00      1.17820e+00      7.00000e+00    112s
   958     -5.38880e+00      1.17820e+00      7.00000e+00    113s
   967     -5.20960e+00      1.17820e+00      7.00000e+00    114s
   976     -5.57300e+00      1.17820e+00      7.00000e+00    115s
   984     -5.43780e+00      1.17820e+00      7.00000e+00    116s
   993     -5.94420e+00      1.17820e+00      7.00000e+00    117s
  1002     -5.00380e+00      1.17820e+00      7.00000e+00    118s
  1012     -4.59820e+00      1.17820e+00      7.00000e+00    119s
  1021     -5.46240e+00      1.17820e+00      7.00000e+00    120s
  1030     -4.55740e+00      1.17820e+00      7.00000e+00    121s
  1038     -4.93440e+00      1.17820e+00      7.00000e+00    122s
  1047     -4.88040e+00      1.17820e+00      7.00000e+00    123s
  1055     -4.61700e+00      1.17820e+00      7.00000e+00    124s
  1063     -5.11020e+00      1.17820e+00      7.00000e+00    125s
  1072     -5.46320e+00      1.17820e+00      7.00000e+00    126s
  1081     -4.76320e+00      1.17820e+00      7.00000e+00    128s
  1089     -4.86920e+00      1.17820e+00      7.00000e+00    129s
  1098     -5.10300e+00      1.17820e+00      7.00000e+00    130s
  1107     -4.85840e+00      1.17820e+00      7.00000e+00    131s
  1115     -5.08020e+00      1.17820e+00      7.00000e+00    132s
  1124     -5.14480e+00      1.17820e+00      7.00000e+00    133s
  1133     -4.95520e+00      1.17820e+00      7.00000e+00    134s
  1142     -4.71620e+00      1.17820e+00      7.00000e+00    135s
  1150     -5.01920e+00      1.17820e+00      7.00000e+00    136s
  1159     -5.07180e+00      1.17820e+00      7.00000e+00    137s
  1167     -5.18520e+00      1.17820e+00      7.00000e+00    138s
  1175     -5.39280e+00      1.17820e+00      7.00000e+00    139s
  1184     -5.07940e+00      1.17820e+00      7.00000e+00    140s
  1193     -5.40620e+00      1.17820e+00      7.00000e+00    141s
  1202     -5.55640e+00      1.17820e+00      7.00000e+00    142s
  1211     -4.80900e+00      1.17820e+00      7.00000e+00    143s
  1221     -5.82700e+00      1.17820e+00      7.00000e+00    144s
  1230     -5.24500e+00      1.17820e+00      7.00000e+00    145s
  1239     -5.15100e+00      1.17820e+00      7.00000e+00    147s
  1248     -5.27060e+00      1.17820e+00      7.00000e+00    148s
  1258     -5.04260e+00      1.17820e+00      7.00000e+00    149s
  1266     -5.30740e+00      1.17820e+00      7.00000e+00    150s
