==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              18
Number of partitions:         3

Density (%):                  86
Name of instance:             seed1_band_pen_1.2
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -9.69580e+00     -9.69580e+00      3.40000e+00      1s
     4     -9.55360e+00     -9.38300e+00      6.80000e+00      2s
     8     -9.39820e+00     -9.33060e+00      8.00000e+00      3s
    12     -9.72080e+00     -9.23920e+00      8.00000e+00      5s
    16     -9.39640e+00     -9.23920e+00      8.00000e+00      6s
    20     -9.45220e+00     -9.23920e+00      8.00000e+00      7s
    24     -9.42660e+00     -8.96900e+00      8.00000e+00      8s
    28     -9.67660e+00     -8.96900e+00      8.00000e+00      9s
    32     -9.80320e+00     -8.96900e+00      8.00000e+00     10s
    36     -9.56820e+00     -8.96900e+00      8.00000e+00     11s
    40     -9.35600e+00     -8.96900e+00      8.00000e+00     12s
    44     -1.00176e+01     -8.96900e+00      8.00000e+00     13s
    48     -9.42880e+00     -8.96900e+00      8.00000e+00     14s
    52     -4.65080e+00     -4.65080e+00      8.00000e+00     15s
    56     -5.63060e+00     -3.31800e+00      8.00000e+00     17s
    60     -9.96580e+00     -3.31800e+00      8.00000e+00     18s
    64     -1.02718e+01     -3.31800e+00      8.00000e+00     19s
    69     -1.86092e+01     -3.31800e+00      8.00000e+00     20s
    73     -1.45850e+01     -3.31800e+00      8.00000e+00     21s
    77     -3.88340e+00     -3.31800e+00      8.00000e+00     22s
    82     -8.19940e+00     -3.23000e+00      8.00000e+00     24s
    86     -9.80200e+00     -3.23000e+00      8.00000e+00     25s
    90     -1.19996e+01     -3.23000e+00      8.00000e+00     26s
    94     -1.91058e+01     -3.23000e+00      8.00000e+00     27s
    98     -1.30274e+01     -3.23000e+00      8.00000e+00     28s
   102     -2.55920e+00     -2.55920e+00      8.00000e+00     30s
   106     -6.54020e+00     -1.91120e+00      8.00000e+00     31s
   110     -1.05878e+01     -1.91120e+00      8.00000e+00     32s
   114     -1.13876e+01     -1.91120e+00      8.00000e+00     33s
   118     -2.39866e+01     -1.91120e+00      8.00000e+00     34s
   122     -2.19710e+01     -1.91120e+00      8.00000e+00     35s
   126     -3.90180e+00     -1.91120e+00      8.00000e+00     36s
   130     -5.10420e+00     -1.91120e+00      8.00000e+00     38s
   134     -1.09194e+01     -1.91120e+00      8.00000e+00     39s
   138     -1.04502e+01     -1.91120e+00      8.00000e+00     40s
   142     -2.23222e+01     -1.91120e+00      8.00000e+00     41s
   146     -2.39180e+01     -1.91120e+00      8.00000e+00     42s
   150     -9.55580e+00     -1.91120e+00      8.00000e+00     43s
   154     -4.09920e+00     -1.91120e+00      8.00000e+00     44s
   158     -1.00778e+01     -1.91120e+00      8.00000e+00     45s
   162     -9.91760e+00     -1.91120e+00      8.00000e+00     46s
   167     -2.26934e+01     -1.91120e+00      8.00000e+00     48s
   171     -2.39956e+01     -1.91120e+00      8.00000e+00     49s
   175     -7.66400e+00     -1.91120e+00      8.00000e+00     50s
   179     -4.91820e+00     -1.91120e+00      8.00000e+00     51s
   183     -1.07636e+01     -1.91120e+00      8.00000e+00     52s
   187     -9.66920e+00     -1.91120e+00      8.00000e+00     53s
   191     -2.09018e+01     -1.91120e+00      8.00000e+00     54s
   196     -2.36580e+01     -1.91120e+00      8.00000e+00     55s
   201     -7.64660e+00     -1.91120e+00      8.00000e+00     57s
   205     -7.73800e+00     -1.91120e+00      8.00000e+00     58s
   209     -9.06420e+00     -1.91120e+00      8.00000e+00     59s
   213     -1.08168e+01     -1.91120e+00      8.00000e+00     60s
   217     -2.11520e+01     -1.91120e+00      8.00000e+00     61s
   221     -2.03746e+01     -1.91120e+00      8.00000e+00     62s
   225     -8.27280e+00     -1.91120e+00      8.00000e+00     63s
   229     -7.27400e+00     -1.91120e+00      8.00000e+00     65s
   233     -8.92660e+00     -1.91120e+00      8.00000e+00     66s
   237     -1.02564e+01     -1.91120e+00      8.00000e+00     67s
   241     -1.98026e+01     -1.91120e+00      8.00000e+00     68s
   246     -1.87312e+01     -1.91120e+00      8.00000e+00     69s
   250     -9.13560e+00     -1.91120e+00      8.00000e+00     70s
   254     -8.21800e+00     -1.91120e+00      8.00000e+00     71s
   258     -8.00340e+00     -1.91120e+00      8.00000e+00     73s
   262     -8.95020e+00     -1.91120e+00      8.00000e+00     74s
   266     -1.70240e+01     -1.91120e+00      8.00000e+00     75s
   270     -1.83152e+01     -1.91120e+00      8.00000e+00     76s
   274     -9.98940e+00     -1.91120e+00      8.00000e+00     77s
   278     -8.43480e+00     -1.91120e+00      8.00000e+00     79s
   282     -8.58900e+00     -1.91120e+00      8.00000e+00     80s
   286     -8.89140e+00     -1.91120e+00      8.00000e+00     81s
   290     -1.65340e+01     -1.91120e+00      8.00000e+00     82s
   294     -1.82420e+01     -1.91120e+00      8.00000e+00     83s
   298     -1.09560e+01     -1.91120e+00      8.00000e+00     84s
   302     -9.61760e+00     -1.91120e+00      8.00000e+00     86s
   306     -9.13980e+00     -1.91120e+00      8.00000e+00     87s
   310     -7.10900e+00     -1.91120e+00      8.00000e+00     88s
   314     -1.30458e+01     -1.91120e+00      8.00000e+00     89s
   318     -1.65534e+01     -1.91120e+00      8.00000e+00     90s
   322     -1.19358e+01     -1.91120e+00      8.00000e+00     91s
   326     -9.52820e+00     -1.91120e+00      8.00000e+00     92s
   330     -8.99260e+00     -1.91120e+00      8.00000e+00     94s
   334     -7.62600e+00     -1.91120e+00      8.00000e+00     95s
   338     -1.18838e+01     -1.91120e+00      8.00000e+00     96s
   342     -1.67490e+01     -1.91120e+00      8.00000e+00     97s
   346     -1.24280e+01     -1.91120e+00      8.00000e+00     98s
   350     -9.57140e+00     -1.91120e+00      8.00000e+00     99s
   354     -9.75740e+00     -1.91120e+00      8.00000e+00    100s
   358     -7.91620e+00     -1.91120e+00      8.00000e+00    101s
   362     -9.17720e+00     -1.91120e+00      8.00000e+00    102s
   366     -1.47074e+01     -1.91120e+00      8.00000e+00    103s
   370     -1.38062e+01     -1.91120e+00      8.00000e+00    104s
   374     -9.81520e+00     -1.91120e+00      8.00000e+00    106s
   378     -9.69160e+00     -1.91120e+00      8.00000e+00    107s
   382     -8.40940e+00     -1.91120e+00      8.00000e+00    108s
   387     -1.01104e+01     -1.91120e+00      8.00000e+00    109s
   392     -1.48042e+01     -1.91120e+00      8.00000e+00    110s
   396     -1.16662e+01     -1.91120e+00      8.00000e+00    111s
   401     -9.55740e+00     -1.91120e+00      8.00000e+00    112s
   406     -9.81460e+00     -1.91120e+00      8.00000e+00    114s
   409     -8.79720e+00     -1.91120e+00      8.00000e+00    115s
   413     -1.02084e+01     -1.91120e+00      8.00000e+00    116s
   416     -1.27650e+01     -1.91120e+00      8.00000e+00    117s
   419     -1.31754e+01     -1.91120e+00      8.00000e+00    119s
   423     -1.06362e+01     -1.91120e+00      8.00000e+00    120s
   426     -9.24940e+00     -1.91120e+00      8.00000e+00    121s
   430     -9.89900e+00     -1.91120e+00      8.00000e+00    122s
   433     -9.35500e+00     -1.91120e+00      8.00000e+00    124s
   437     -9.89280e+00     -1.91120e+00      8.00000e+00    125s
   440     -1.30120e+01     -1.91120e+00      8.00000e+00    126s
   443     -1.36204e+01     -1.91120e+00      8.00000e+00    127s
   447     -1.09522e+01     -1.91120e+00      8.00000e+00    128s
   450     -9.66060e+00     -1.91120e+00      8.00000e+00    129s
   454     -9.76640e+00     -1.91120e+00      8.00000e+00    131s
   457     -1.05320e+01     -1.91120e+00      8.00000e+00    132s
   460     -9.98700e+00     -1.91120e+00      8.00000e+00    133s
   464     -9.63580e+00     -1.91120e+00      8.00000e+00    134s
   467     -1.16406e+01     -1.91120e+00      8.00000e+00    135s
   471     -1.16818e+01     -1.91120e+00      8.00000e+00    136s
   474     -9.85220e+00     -1.91120e+00      8.00000e+00    138s
   477     -9.67900e+00     -1.91120e+00      8.00000e+00    139s
   481     -1.05042e+01     -1.91120e+00      8.00000e+00    140s
   484     -1.00066e+01     -1.91120e+00      8.00000e+00    141s
   487     -9.64340e+00     -1.91120e+00      8.00000e+00    142s
   490     -1.05896e+01     -1.91120e+00      8.00000e+00    143s
   493     -1.18444e+01     -1.91120e+00      8.00000e+00    144s
   497     -1.03594e+01     -1.91120e+00      8.00000e+00    146s
   500     -9.64480e+00     -1.91120e+00      8.00000e+00    147s
   504     -9.78680e+00     -1.91120e+00      8.00000e+00    148s
   507     -1.10364e+01     -1.91120e+00      8.00000e+00    149s
   511     -9.73760e+00     -1.91120e+00      8.00000e+00    151s
   514     -9.81620e+00     -1.91120e+00      8.00000e+00    152s
   517     -9.77980e+00     -1.91120e+00      8.00000e+00    153s
   521     -1.07626e+01     -1.91120e+00      8.00000e+00    154s
   524     -9.87940e+00     -1.91120e+00      8.00000e+00    155s
   528     -9.42300e+00     -1.91120e+00      8.00000e+00    157s
   531     -1.04926e+01     -1.91120e+00      8.00000e+00    158s
   535     -9.90980e+00     -1.91120e+00      8.00000e+00    159s
   538     -9.54040e+00     -1.91120e+00      8.00000e+00    160s
   541     -9.76340e+00     -1.91120e+00      8.00000e+00    161s
   545     -1.07044e+01     -1.91120e+00      8.00000e+00    163s
   548     -9.48780e+00     -1.91120e+00      8.00000e+00    164s
   552     -9.38120e+00     -1.91120e+00      8.00000e+00    165s
   555     -9.72080e+00     -1.91120e+00      8.00000e+00    166s
   559     -1.06036e+01     -1.91120e+00      8.00000e+00    168s
   562     -9.49960e+00     -1.91120e+00      8.00000e+00    169s
