==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           4
Number of edges:              6
Number of partitions:         4

Density (%):                  100
Name of instance:             seed1_band_pen1.4
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     5     -8.66580e+00     -8.26280e+00      4.00000e+00      1s
    18     -8.47060e+00     -8.26280e+00      4.00000e+00      2s
    32     -9.47940e+00     -8.26280e+00      4.00000e+00      3s
    46     -8.90280e+00     -8.26280e+00      4.00000e+00      4s
    60     -5.70440e+00     -6.51400e-01      4.00000e+00      5s
    75     -6.76840e+00     -6.51400e-01      4.00000e+00      6s
    91     -2.08288e+01     -6.51400e-01      4.00000e+00      7s
   106     -2.05320e+00     -6.51400e-01      4.00000e+00      8s
   121     -2.42308e+01     -6.51400e-01      4.00000e+00      9s
   136     -6.60200e+00     -6.51400e-01      4.00000e+00     10s
   151     -7.95260e+00     -6.51400e-01      4.00000e+00     11s
   166     -1.92050e+01     -6.51400e-01      4.00000e+00     12s
   181     -6.26320e+00     -6.51400e-01      4.00000e+00     13s
   196     -1.48576e+01     -6.51400e-01      4.00000e+00     15s
   210     -7.69360e+00     -6.51400e-01      4.00000e+00     16s
   225     -8.90500e+00     -6.51400e-01      4.00000e+00     17s
   240     -1.34390e+01     -6.51400e-01      4.00000e+00     18s
   254     -1.17188e+01     -6.51400e-01      4.00000e+00     19s
   269     -1.14394e+01     -6.51400e-01      4.00000e+00     20s
   282     -1.12794e+01     -6.51400e-01      4.00000e+00     21s
   297     -9.19520e+00     -6.51400e-01      4.00000e+00     22s
   312     -8.24880e+00     -6.51400e-01      4.00000e+00     23s
   327     -1.03462e+01     -6.51400e-01      4.00000e+00     24s
   342     -1.16598e+01     -6.51400e-01      4.00000e+00     25s
   357     -1.16450e+01     -6.51400e-01      4.00000e+00     26s
   372     -9.66740e+00     -6.51400e-01      4.00000e+00     27s
   387     -8.50580e+00     -6.51400e-01      4.00000e+00     28s
   402     -9.92140e+00     -6.51400e-01      4.00000e+00     29s
   417     -1.11392e+01     -6.51400e-01      4.00000e+00     30s
   432     -1.19392e+01     -6.51400e-01      4.00000e+00     31s
   446     -1.01514e+01     -6.51400e-01      4.00000e+00     32s
   461     -9.28980e+00     -6.51400e-01      4.00000e+00     33s
   476     -9.12940e+00     -6.51400e-01      4.00000e+00     35s
   491     -9.90360e+00     -6.51400e-01      4.00000e+00     36s
   506     -1.14164e+01     -6.51400e-01      4.00000e+00     37s
   521     -9.70580e+00     -6.51400e-01      4.00000e+00     38s
   536     -9.16120e+00     -6.51400e-01      4.00000e+00     39s
   551     -8.80800e+00     -6.51400e-01      4.00000e+00     40s
   565     -9.81720e+00     -6.51400e-01      4.00000e+00     41s
   579     -1.02486e+01     -6.51400e-01      4.00000e+00     42s
   593     -1.02344e+01     -6.51400e-01      4.00000e+00     43s
   607     -9.57520e+00     -6.51400e-01      4.00000e+00     44s
   621     -9.46780e+00     -6.51400e-01      4.00000e+00     45s
   635     -9.05100e+00     -6.51400e-01      4.00000e+00     46s
   649     -8.63720e+00     -6.51400e-01      4.00000e+00     47s
   663     -9.02660e+00     -6.51400e-01      4.00000e+00     48s
   677     -8.74580e+00     -6.51400e-01      4.00000e+00     49s
   691     -9.19220e+00     -6.51400e-01      4.00000e+00     50s
   705     -9.19640e+00     -6.51400e-01      4.00000e+00     51s
   718     -9.12220e+00     -6.51400e-01      4.00000e+00     52s
   732     -9.54000e+00     -6.51400e-01      4.00000e+00     53s
   746     -9.07740e+00     -6.51400e-01      4.00000e+00     54s
   760     -9.03820e+00     -6.51400e-01      4.00000e+00     55s
   774     -8.38560e+00     -6.51400e-01      4.00000e+00     56s
   788     -8.78020e+00     -6.51400e-01      4.00000e+00     57s
   802     -8.48760e+00     -6.51400e-01      4.00000e+00     58s
   816     -8.70820e+00     -6.51400e-01      4.00000e+00     59s
   830     -8.73300e+00     -6.51400e-01      4.00000e+00     60s
   844     -8.49780e+00     -6.51400e-01      4.00000e+00     61s
   858     -8.55200e+00     -6.51400e-01      4.00000e+00     62s
   872     -8.91720e+00     -6.51400e-01      4.00000e+00     63s
   885     -9.33640e+00     -6.51400e-01      4.00000e+00     64s
   899     -9.25400e+00     -6.51400e-01      4.00000e+00     65s
   913     -8.31620e+00     -6.51400e-01      4.00000e+00     66s
   927     -9.55820e+00     -6.51400e-01      4.00000e+00     67s
   941     -9.44800e+00     -6.51400e-01      4.00000e+00     68s
   955     -9.88120e+00     -6.51400e-01      4.00000e+00     69s
   969     -1.00492e+01     -6.51400e-01      4.00000e+00     70s
   983     -9.65720e+00     -6.51400e-01      4.00000e+00     71s
   997     -9.52800e+00     -6.51400e-01      4.00000e+00     72s
  1011     -8.71460e+00     -6.51400e-01      4.00000e+00     73s
  1025     -8.50480e+00     -6.51400e-01      4.00000e+00     75s
  1039     -9.26940e+00     -6.51400e-01      4.00000e+00     76s
  1053     -9.17900e+00     -6.51400e-01      4.00000e+00     77s
  1067     -9.08480e+00     -6.51400e-01      4.00000e+00     78s
  1081     -8.97980e+00     -6.51400e-01      4.00000e+00     79s
  1095     -9.56060e+00     -6.51400e-01      4.00000e+00     80s
  1109     -8.95880e+00     -6.51400e-01      4.00000e+00     81s
  1123     -9.03860e+00     -6.51400e-01      4.00000e+00     82s
  1137     -9.17540e+00     -6.51400e-01      4.00000e+00     83s
  1151     -9.04460e+00     -6.51400e-01      4.00000e+00     84s
  1164     -9.10280e+00     -6.51400e-01      4.00000e+00     85s
  1178     -9.14040e+00     -6.51400e-01      4.00000e+00     86s
  1192     -8.89960e+00     -6.51400e-01      4.00000e+00     87s
  1206     -9.25540e+00     -6.51400e-01      4.00000e+00     88s
  1220     -8.98060e+00     -6.51400e-01      4.00000e+00     89s
  1234     -9.06240e+00     -6.51400e-01      4.00000e+00     90s
  1248     -8.45200e+00     -6.51400e-01      4.00000e+00     91s
  1262     -8.90760e+00     -6.51400e-01      4.00000e+00     92s
  1276     -9.04500e+00     -6.51400e-01      4.00000e+00     93s
  1290     -8.16700e+00     -6.51400e-01      4.00000e+00     94s
  1304     -9.11620e+00     -6.51400e-01      4.00000e+00     95s
  1318     -9.31480e+00     -6.51400e-01      4.00000e+00     96s
  1331     -8.92500e+00     -6.51400e-01      4.00000e+00     97s
  1345     -8.84960e+00     -6.51400e-01      4.00000e+00     98s
  1359     -8.89100e+00     -6.51400e-01      4.00000e+00     99s
  1373     -9.38100e+00     -6.51400e-01      4.00000e+00    101s
  1387     -9.41220e+00     -6.51400e-01      4.00000e+00    102s
  1401     -8.86980e+00     -6.51400e-01      4.00000e+00    103s
  1415     -9.49700e+00     -6.51400e-01      4.00000e+00    104s
  1429     -1.01610e+01     -6.51400e-01      4.00000e+00    105s
  1443     -9.72620e+00     -6.51400e-01      4.00000e+00    106s
  1457     -9.50160e+00     -6.51400e-01      4.00000e+00    107s
  1471     -9.03780e+00     -6.51400e-01      4.00000e+00    108s
  1485     -9.04680e+00     -6.51400e-01      4.00000e+00    109s
  1499     -8.59600e+00     -6.51400e-01      4.00000e+00    110s
  1513     -9.52100e+00     -6.51400e-01      4.00000e+00    111s
  1527     -8.76060e+00     -6.51400e-01      4.00000e+00    112s
  1541     -8.74540e+00     -6.51400e-01      4.00000e+00    113s
  1555     -8.62220e+00     -6.51400e-01      4.00000e+00    114s
  1569     -8.70600e+00     -6.51400e-01      4.00000e+00    115s
  1583     -8.47080e+00     -6.51400e-01      4.00000e+00    116s
  1596     -8.86440e+00     -6.51400e-01      4.00000e+00    117s
  1610     -9.47520e+00     -6.51400e-01      4.00000e+00    118s
  1624     -8.46560e+00     -6.51400e-01      4.00000e+00    119s
  1638     -9.19100e+00     -6.51400e-01      4.00000e+00    120s
  1652     -8.83680e+00     -6.51400e-01      4.00000e+00    121s
  1666     -8.86780e+00     -6.51400e-01      4.00000e+00    122s
  1680     -8.63160e+00     -6.51400e-01      4.00000e+00    123s
  1694     -8.66240e+00     -6.51400e-01      4.00000e+00    125s
  1708     -9.05840e+00     -6.51400e-01      4.00000e+00    126s
  1721     -8.96420e+00     -6.51400e-01      4.00000e+00    127s
  1735     -9.01300e+00     -6.51400e-01      4.00000e+00    128s
  1749     -8.87580e+00     -6.51400e-01      4.00000e+00    129s
  1762     -8.76500e+00     -6.51400e-01      4.00000e+00    130s
  1775     -8.49520e+00     -6.51400e-01      4.00000e+00    131s
  1789     -9.12960e+00     -6.51400e-01      4.00000e+00    132s
  1802     -9.86780e+00     -6.51400e-01      4.00000e+00    133s
  1816     -9.55720e+00     -6.51400e-01      4.00000e+00    134s
  1830     -9.49320e+00     -6.51400e-01      4.00000e+00    135s
  1844     -1.00602e+01     -6.51400e-01      4.00000e+00    136s
  1858     -1.00200e+01     -6.51400e-01      4.00000e+00    137s
  1872     -9.08460e+00     -6.51400e-01      4.00000e+00    138s
  1886     -8.92460e+00     -6.51400e-01      4.00000e+00    139s
  1900     -8.94040e+00     -6.51400e-01      4.00000e+00    140s
  1914     -9.18260e+00     -6.51400e-01      4.00000e+00    141s
  1928     -9.77840e+00     -6.51400e-01      4.00000e+00    142s
  1942     -1.04292e+01     -6.51400e-01      4.00000e+00    143s
  1956     -1.12134e+01     -6.51400e-01      4.00000e+00    144s
  1970     -1.06632e+01     -6.51400e-01      4.00000e+00    146s
  1984     -9.62740e+00     -6.51400e-01      4.00000e+00    147s
  1998     -9.30920e+00     -6.51400e-01      4.00000e+00    148s
  2012     -9.15240e+00     -6.51400e-01      4.00000e+00    149s
  2026     -9.31560e+00     -6.51400e-01      4.00000e+00    150s
  2039     -9.65920e+00     -6.51400e-01      4.00000e+00    151s
  2052     -9.04620e+00     -6.51400e-01      4.00000e+00    152s
  2066     -1.05462e+01     -6.51400e-01      4.00000e+00    153s
  2080     -1.03646e+01     -6.51400e-01      4.00000e+00    154s
  2094     -1.10014e+01     -6.51400e-01      4.00000e+00    155s
  2107     -1.14084e+01     -6.51400e-01      4.00000e+00    156s
  2121     -1.05806e+01     -6.51400e-01      4.00000e+00    157s
  2135     -1.00350e+01     -6.51400e-01      4.00000e+00    158s
  2149     -8.79660e+00     -6.51400e-01      4.00000e+00    159s
  2160     -1.10682e+01     -6.51400e-01      4.00000e+00    160s
  2174     -8.70440e+00     -6.51400e-01      4.00000e+00    161s
  2188     -8.67460e+00     -6.51400e-01      4.00000e+00    162s
  2201     -1.01344e+01     -6.51400e-01      4.00000e+00    163s
  2215     -7.19580e+00     -6.51400e-01      4.00000e+00    164s
  2229     -1.65052e+01     -6.51400e-01      4.00000e+00    165s
  2243     -7.61780e+00     -6.51400e-01      4.00000e+00    167s
  2257     -2.16870e+01     -6.51400e-01      4.00000e+00    168s
  2271     -4.69400e+00     -6.51400e-01      4.00000e+00    169s
  2285     -1.33770e+01     -6.51400e-01      4.00000e+00    170s
  2299     -8.69940e+00     -6.51400e-01      4.00000e+00    171s
  2313     -7.64980e+00     -6.51400e-01      4.00000e+00    172s
  2327     -1.47170e+01     -6.51400e-01      4.00000e+00    173s
  2341     -5.16180e+00     -6.51400e-01      4.00000e+00    174s
  2355     -8.85920e+00     -6.51400e-01      4.00000e+00    175s
  2368     -1.23926e+01     -6.51400e-01      4.00000e+00    176s
  2381     -1.07662e+01     -6.51400e-01      4.00000e+00    177s
  2394     -1.36052e+01     -6.51400e-01      4.00000e+00    178s
  2408     -5.07100e+00     -2.13000e-01      4.00000e+00    179s
  2422     -1.99096e+01     -2.13000e-01      4.00000e+00    180s
  2436     -7.69300e+00     -2.13000e-01      4.00000e+00    181s
  2450     -8.71320e+00     -2.13000e-01      4.00000e+00    182s
  2464     -1.48878e+01     -2.13000e-01      4.00000e+00    183s
  2477     -1.91920e+00     -2.13000e-01      4.00000e+00    184s
  2491     -2.56464e+01     -2.13000e-01      4.00000e+00    185s

==================================================
Summary of results QAOA
--------------------------------------------------
Avg of QAOA obj (BQO obj):    1.51
Avg of QAOA obj (penalty):    -1.72
Avg of constraint violation:  0.38

Avg of QAOA obj:              -0.21
STD of QAOA obj:              2.72
Avg of QAOA obj (feasible):   1.68
STD of QAOA obj (feasible):   0.34

Gamma angles:                 6.15
Beta angles:                  0.51

Best QAOA obj:                4.00
Modified best QAOA obj:       4.00
Best QAOA obj (feasible):     4.00

QAOA total time:              185.97s
QAOA circuit depth:           18
==================================================

==================================================
Summary of results of 0-S4
--------------------------------------------------
Number of vertices:           4
Number of edges:              6

Vertex num in largest comp:   4
Edge num in largest comp:     6

Pre-processing running time:  0.00
Total solver time:            185.38
Running time:                 188.15

Upper bound:                  4.00
Objective value:              4.00

Partition 0:                  1, 4                
Partition 1:                  2, 3                
Partition 2:                                      
Partition 3:                                      
==================================================
