Traceback (most recent call last):
  File "/home/ramin/MaxKcut/runners/runner_qaoa_qubo_01.py", line 14, in <module>
    noise 			= float(sys.argv[5])
IndexError: list index out of range
==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              25
Number of partitions:         4

Density (%):                  89
Name of instance:             seed1_band_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              3
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.33833e+02     -1.33833e+02      6.00000e+00      6s
     1     -1.34092e+02     -1.33833e+02      6.00000e+00     11s
     2     -1.34091e+02     -1.33833e+02      6.00000e+00     17s
     3     -1.34206e+02     -1.33833e+02      6.00000e+00     23s
     4     -1.33479e+02     -1.33479e+02      6.00000e+00     28s
     5     -1.33558e+02     -1.33479e+02      6.00000e+00     34s
     6     -1.34708e+02     -1.33479e+02      6.00000e+00     39s
     7     -1.34439e+02     -1.33479e+02      6.00000e+00     45s
     8     -1.35443e+02     -1.33479e+02      6.00000e+00     51s
     9     -1.33883e+02     -1.33479e+02      6.00000e+00     56s
    10     -1.34356e+02     -1.33479e+02      6.00000e+00     62s
    11     -1.35223e+02     -1.33479e+02      6.00000e+00     68s
    12     -1.33682e+02     -1.33479e+02      6.00000e+00     75s
    13     -1.34122e+02     -1.33479e+02      6.00000e+00     81s
    14     -1.34635e+02     -1.33479e+02      6.00000e+00     87s
    15     -1.34331e+02     -1.33479e+02      6.00000e+00     93s
    16     -1.35556e+02     -1.33479e+02      7.00000e+00     98s
    17     -1.34664e+02     -1.33479e+02      7.00000e+00    104s
    18     -1.35410e+02     -1.33479e+02      7.00000e+00    110s
    19     -1.34943e+02     -1.33479e+02      7.00000e+00    116s
    20     -1.34586e+02     -1.33479e+02      7.00000e+00    123s
    21     -1.34528e+02     -1.33479e+02      7.00000e+00    129s
    22     -1.33567e+02     -1.33479e+02      7.00000e+00    135s
    23     -1.34267e+02     -1.33479e+02      7.00000e+00    140s
    24     -1.34287e+02     -1.33479e+02      7.00000e+00    146s
    25     -1.33012e+02     -1.33012e+02      7.00000e+00    152s
    26     -1.33352e+02     -1.33012e+02      7.00000e+00    158s
    27     -1.34332e+02     -1.33012e+02      7.00000e+00    163s
    28     -1.34507e+02     -1.33012e+02      7.00000e+00    169s
    29     -1.35648e+02     -1.33012e+02      7.00000e+00    174s
    30     -1.33728e+02     -1.33012e+02      7.00000e+00    180s
    31     -1.33618e+02     -1.33012e+02      7.00000e+00    186s
